Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,21.937500,21.937500,19.812500,20.250000,10.210532,1468700
2000-01-04,20.062500,21.375000,19.625000,20.250000,10.210532,2082300
2000-01-05,20.375000,21.375000,20.000000,20.375000,10.273566,1833700
2000-01-06,20.687500,22.375000,20.687500,22.312500,11.250498,2234700
2000-01-07,22.750000,24.187500,22.312500,23.812500,12.006830,2810600
2000-01-10,23.875000,23.875000,22.375000,23.062500,11.628669,2274100
2000-01-11,23.750000,24.000000,22.812500,23.562500,11.880782,2001100
2000-01-12,23.062500,23.312500,22.375000,22.500000,11.345037,1358000
2000-01-13,22.500000,23.312500,22.437500,22.500000,11.345037,1534800
2000-01-14,22.562500,22.875000,21.937500,22.750000,11.471099,1824700
2000-01-18,22.500000,23.625000,22.250000,23.625000,11.912292,4190800
2000-01-19,23.562500,24.250000,22.812500,23.437500,11.817752,2186500
2000-01-20,23.000000,23.000000,22.062500,22.125000,11.155952,1822500
2000-01-21,23.250000,23.937500,22.000000,22.750000,11.471099,3546500
2000-01-24,23.250000,23.250000,22.750000,23.062500,11.628669,2326700
2000-01-25,23.000000,23.500000,22.125000,22.875000,11.534125,1747500
2000-01-26,23.500000,24.000000,22.687500,22.750000,11.471099,2050900
2000-01-27,22.750000,23.375000,21.000000,21.562500,10.872334,1144500
2000-01-28,21.875000,22.375000,20.562500,20.812500,10.494162,1303300
2000-01-31,23.500000,25.062500,22.812500,24.687500,12.448033,5190700
2000-02-01,24.687500,24.812500,22.937500,24.125000,12.164399,3709300
2000-02-02,24.125000,24.500000,23.187500,23.500000,11.849265,1526300
2000-02-03,23.687500,24.125000,23.250000,23.875000,12.097552,2807900
2000-02-04,23.625000,24.062500,22.062500,22.500000,11.400828,1786500
2000-02-07,21.875000,23.875000,21.750000,23.312500,11.812529,1412600
2000-02-08,23.375000,23.437500,22.000000,22.625000,11.464170,1625500
2000-02-09,22.375000,23.250000,21.625000,21.750000,11.020805,1009200
2000-02-10,21.625000,23.062500,21.625000,22.562500,11.432499,2774000
2000-02-11,22.875000,24.062500,22.750000,22.750000,11.527509,1823500
2000-02-14,23.000000,24.000000,22.187500,23.875000,12.097552,1687800
2000-02-15,24.125000,25.625000,24.125000,25.500000,12.920943,3528200
2000-02-16,25.250000,26.125000,24.875000,25.312500,12.825935,2550100
2000-02-17,25.000000,25.750000,23.625000,25.375000,12.857601,2205600
2000-02-18,25.375000,25.375000,24.312500,24.562500,12.445910,1343500
2000-02-22,24.750000,25.125000,23.812500,24.250000,12.287556,1394200
2000-02-23,24.250000,24.500000,23.937500,24.000000,12.160892,1498400
2000-02-24,24.000000,25.437500,23.875000,24.812500,12.572581,1854400
2000-02-25,24.812500,24.875000,23.812500,24.062500,12.192557,1666700
2000-02-28,23.812500,25.750000,23.812500,25.125000,12.730929,2230700
2000-02-29,25.750000,26.375000,25.562500,25.875000,13.110954,2715800
2000-03-01,26.125000,27.375000,24.687500,27.312500,13.839341,4533900
2000-03-02,27.187500,28.500000,27.062500,28.437500,14.409383,3431300
2000-03-03,28.000000,28.000000,26.000000,26.750000,13.554317,2166600
2000-03-06,27.000000,27.750000,26.750000,27.375000,13.871012,1744500
