Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.984375,12.031250,11.500000,11.828125,7.311438,772000
2000-01-04,11.812500,11.812500,11.375000,11.500000,7.108613,667600
2000-01-05,11.500000,11.718750,11.343750,11.515625,7.118271,857600
2000-01-06,11.125000,12.000000,10.406250,11.921875,7.369389,3072000
2000-01-07,11.921875,12.500000,11.875000,12.234375,7.562556,2006000
2000-01-10,12.171875,12.468750,11.953125,12.406250,7.668797,1014800
2000-01-11,12.312500,12.312500,11.593750,11.703125,7.234170,769200
2000-01-12,11.703125,11.968750,11.625000,11.750000,7.263146,677600
2000-01-13,11.812500,12.250000,11.796875,11.953125,7.388706,608400
2000-01-14,12.015625,12.062500,11.671875,11.671875,7.214852,443200
2000-01-18,11.546875,11.640625,11.375000,11.562500,7.147242,511200
2000-01-19,11.562500,11.562500,11.265625,11.296875,6.983052,1146800
2000-01-20,11.359375,11.359375,10.968750,11.046875,6.828513,572400
2000-01-21,11.109375,11.250000,10.578125,10.750000,6.645004,1079600
2000-01-24,10.796875,10.812500,10.281250,10.421875,6.442177,1034400
2000-01-25,10.375000,10.421875,10.046875,10.140625,6.268325,1258800
2000-01-26,10.203125,10.296875,10.000000,10.171875,6.287643,2245200
2000-01-27,10.109375,10.109375,9.750000,9.953125,6.152421,1246800
2000-01-28,10.125000,10.156250,9.500000,9.656250,5.968913,1690000
2000-01-31,9.593750,9.734375,9.437500,9.562500,5.910963,1202800
2000-02-01,9.375000,9.562500,9.296875,9.312500,5.756430,1048000
2000-02-02,9.312500,9.453125,9.140625,9.140625,5.650186,979600
2000-02-03,9.265625,9.421875,9.140625,9.343750,5.775747,2487600
2000-02-04,9.343750,9.453125,9.343750,9.390625,5.804721,1194000
2000-02-07,9.406250,9.484375,9.093750,9.281250,5.737111,1344800
2000-02-08,9.343750,9.500000,9.156250,9.234375,5.708138,1170000
2000-02-09,9.250000,9.343750,9.140625,9.140625,5.650186,909600
2000-02-10,9.140625,9.234375,9.062500,9.156250,5.659845,1580800
2000-02-11,9.250000,9.250000,8.718750,8.765625,5.418380,1278800
2000-02-14,8.781250,8.968750,8.750000,8.843750,5.466674,1257200
2000-02-15,8.843750,9.078125,8.843750,8.984375,5.553602,1914800
2000-02-16,9.250000,9.265625,9.109375,9.265625,5.727450,1792000
2000-02-17,9.000000,9.093750,8.906250,9.015625,5.572917,1058800
2000-02-18,9.156250,10.500000,9.046875,10.187500,6.297302,2434800
2000-02-22,10.125000,10.171875,9.640625,10.171875,6.287643,2058400
2000-02-23,10.156250,10.156250,9.562500,9.562500,5.910963,720000
2000-02-24,9.546875,9.546875,8.687500,8.750000,5.408725,2075600
2000-02-25,8.562500,8.687500,8.437500,8.656250,5.350772,2153200
2000-02-28,8.515625,8.515625,8.281250,8.406250,5.241653,1172800
2000-02-29,8.468750,8.468750,8.250000,8.328125,5.192940,1358000
2000-03-01,8.390625,8.625000,8.343750,8.468750,5.280623,996400
2000-03-02,8.250000,8.312500,8.093750,8.234375,5.134483,1185600
2000-03-03,8.296875,8.671875,8.203125,8.656250,5.397540,1090400
2000-03-06,8.531250,8.593750,8.250000,8.250000,5.144226,849600
2000-03-07,8.390625,8.406250,7.812500,7.828125,4.881169,852400
2000-03-08,7.953125,8.000000,7.531250,7.765625,4.842198,1096400
2000-03-09,7.859375,8.062500,7.687500,8.000000,4.988338,651600
2000-03-10,7.750000,8.062500,7.703125,8.000000,4.988338,1124000
2000-03-13,7.875000,7.875000,7.640625,7.859375,4.900655,709200
2000-03-14,7.921875,8.109375,7.812500,7.875000,4.910398,1020800
2000-03-15,7.765625,8.500000,7.750000,8.375000,5.222168,1501200
2000-03-16,8.484375,9.312500,8.453125,9.296875,5.796995,1659200
2000-03-17,9.296875,9.296875,8.703125,8.890625,5.543682,1426800
2000-03-20,9.125000,9.265625,8.953125,8.984375,5.602139,1358800
2000-03-21,9.109375,9.500000,8.968750,9.312500,5.806741,1124000
2000-03-22,9.312500,9.312500,9.046875,9.187500,5.728796,839200
2000-03-23,9.125000,9.625000,9.125000,9.562500,5.962626,1117600
2000-03-24,9.562500,9.765625,9.390625,9.531250,5.943140,1267600
2000-03-27,9.625000,9.750000,9.343750,9.609375,5.991852,1250000
2000-03-28,9.671875,9.687500,9.125000,9.312500,5.806741,1177200
2000-03-29,9.328125,9.656250,9.250000,9.406250,5.865195,1277600
2000-03-30,9.343750,9.343750,8.953125,9.078125,5.660597,1808400
2000-03-31,8.953125,9.500000,8.937500,9.390625,5.855453,1990000
2000-04-03,9.515625,9.515625,9.125000,9.312500,5.806741,776800
2000-04-04,9.484375,9.984375,9.390625,9.593750,5.982111,1860400
2000-04-05,9.750000,9.750000,9.406250,9.453125,5.894428,1022000
2000-04-06,9.453125,9.578125,9.187500,9.187500,5.728796,1339200
2000-04-07,9.250000,9.281250,9.015625,9.109375,5.680082,709200
2000-04-10,9.093750,9.281250,8.968750,9.031250,5.631369,542000
2000-04-11,9.093750,9.187500,8.953125,9.046875,5.641112,889600
2000-04-12,8.984375,9.375000,8.875000,8.906250,5.553425,1400400
2000-04-13,9.296875,9.937500,9.171875,9.656250,6.021080,2063600
2000-04-14,9.437500,9.500000,9.125000,9.156250,5.709311,2065600
2000-04-17,9.156250,9.703125,9.156250,9.171875,5.719056,1160400
2000-04-18,9.187500,9.578125,9.000000,9.359375,5.835968,1152800
2000-04-19,9.296875,9.328125,8.921875,9.046875,5.641112,717600
