Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.805411,3.805411,3.616001,3.650439,2.751142,840276
2000-01-04,3.684878,3.684878,3.374935,3.512687,2.647327,568774
2000-01-05,3.529906,3.581563,3.495468,3.564344,2.686258,502350
2000-01-06,3.547125,3.547125,3.374935,3.374935,2.543510,2483804
2000-01-07,3.409373,3.547125,3.392154,3.495468,2.634349,684924
2000-01-10,3.495468,3.564344,3.426592,3.564344,2.686258,581841
2000-01-11,3.564344,3.564344,3.323277,3.340496,2.517554,2928805
2000-01-12,3.340496,3.374935,3.288839,3.306058,2.491601,1210505
2000-01-13,3.374935,3.392154,3.288839,3.340496,2.517554,1182556
2000-01-14,3.357716,3.495468,3.271620,3.495468,2.634349,972034
2000-01-18,3.340496,3.357716,3.271620,3.323277,2.504577,883469
2000-01-19,3.374935,3.374935,3.202744,3.237182,2.439693,783289
2000-01-20,3.271620,3.271620,3.133868,3.237182,2.439693,1254061
2000-01-21,3.237182,3.237182,3.116649,3.202744,2.413739,1132103
2000-01-24,3.323277,3.340496,3.168306,3.202744,2.413739,1783272
2000-01-25,3.237182,3.237182,2.996115,3.030553,2.283967,1065680
2000-01-26,3.064992,3.168306,3.064992,3.082211,2.322899,1168037
2000-01-27,3.099430,3.202744,3.099430,3.116649,2.348854,1121214
2000-01-28,3.099430,3.133868,3.064992,3.064992,2.309922,1064954
2000-01-31,3.306058,3.306058,3.133868,3.202744,2.413739,1476562
2000-02-01,3.219963,3.219963,3.116649,3.151087,2.374807,1028657
2000-02-02,3.271620,3.271620,3.151087,3.202744,2.413739,1501970
2000-02-03,3.219963,3.426592,3.219963,3.357716,2.539272,2116841
2000-02-04,3.478249,3.478249,3.323277,3.340496,2.526246,895810
2000-02-07,3.409373,3.409373,3.340496,3.392154,2.565314,1001434
2000-02-08,3.392154,3.512687,3.374935,3.409373,2.578336,1262047
2000-02-09,3.564344,3.581563,3.409373,3.426592,2.591358,766230
2000-02-10,3.667658,3.667658,3.392154,3.409373,2.578336,1729915
2000-02-11,3.409373,3.409373,3.271620,3.323277,2.513224,681295
2000-02-14,3.323277,3.478249,3.323277,3.426592,2.591358,874395
2000-02-15,3.443811,3.478249,3.374935,3.426592,2.591358,1096169
2000-02-16,3.443811,3.443811,3.219963,3.219963,2.435094,1053702
2000-02-17,3.357716,3.426592,3.271620,3.271620,2.474160,1071124
2000-02-18,3.219963,3.288839,3.064992,3.271620,2.474160,1752782
2000-02-22,3.271620,3.271620,3.116649,3.237182,2.448116,818860
2000-02-23,3.185525,3.237182,3.099430,3.151087,2.383007,690006
2000-02-24,3.133868,3.185525,3.064992,3.082211,2.330919,626849
2000-02-25,3.151087,3.151087,3.099430,3.099430,2.343941,1208327
2000-02-28,3.099430,3.168306,3.064992,3.116649,2.356964,581478
2000-02-29,3.116649,3.133868,3.064992,3.099430,2.343941,821038
2000-03-01,3.133868,3.323277,3.133868,3.323277,2.513224,1351700
2000-03-02,3.306058,3.340496,3.288839,3.323277,2.513224,978204
2000-03-03,3.323277,3.443811,3.306058,3.340496,2.526246,670769
2000-03-06,3.340496,3.357716,3.185525,3.271620,2.474160,303080
2000-03-07,3.237182,3.254401,3.116649,3.116649,2.356964,831201
2000-03-08,3.099430,3.185525,3.099430,3.151087,2.383007,743726
2000-03-09,3.185525,3.288839,3.168306,3.288839,2.487181,467142
2000-03-10,3.237182,3.254401,3.151087,3.185525,2.409050,473313
2000-03-13,3.133868,3.306058,3.133868,3.185525,2.409050,618864
2000-03-14,3.254401,3.254401,3.099430,3.099430,2.343941,1324478
2000-03-15,3.116649,3.443811,3.116649,3.323277,2.513224,817045
2000-03-16,3.478249,3.874287,3.478249,3.788192,2.864816,3455111
2000-03-17,3.702097,3.770973,3.650439,3.684878,2.786686,958967
2000-03-20,3.702097,3.788192,3.684878,3.719316,2.812729,554981
2000-03-21,3.650439,3.702097,3.581563,3.684878,2.786686,888914
2000-03-22,3.702097,3.719316,3.529906,3.616001,2.734597,964774
2000-03-23,3.633220,3.857068,3.616001,3.753754,2.838773,1295440
2000-03-24,3.788192,3.857068,3.702097,3.702097,2.799708,672583
2000-03-27,3.702097,3.719316,3.581563,3.650439,2.760641,899803
2000-03-28,3.547125,3.633220,3.512687,3.581563,2.708554,596723
2000-03-29,3.581563,3.650439,3.461030,3.512687,2.656467,1022849
2000-03-30,3.495468,3.857068,3.461030,3.684878,2.786686,2905575
2000-03-31,3.581563,3.633220,3.564344,3.598782,2.721575,827572
2000-04-03,3.564344,3.702097,3.547125,3.650439,2.760641,839913
2000-04-04,3.616001,3.702097,3.443811,3.581563,2.708554,1194171
2000-04-05,3.495468,3.805411,3.478249,3.581563,2.708554,1660225
2000-04-06,3.650439,3.719316,3.581563,3.684878,2.786686,523766
2000-04-07,3.702097,3.839849,3.702097,3.736535,2.825751,944085
2000-04-10,3.719316,3.839849,3.616001,3.633220,2.747619,628301
2000-04-11,3.598782,3.702097,3.581563,3.616001,2.734597,409067
2000-04-12,3.616001,3.770973,3.598782,3.702097,2.799708,875484
2000-04-13,3.667658,3.770973,3.633220,3.770973,2.851795,1713581
2000-04-14,3.633220,3.667658,3.409373,3.478249,2.630423,1470754
2000-04-17,3.443811,3.443811,3.357716,3.374935,2.552292,1304877
2000-04-18,3.392154,3.564344,3.374935,3.512687,2.656467,1028657
2000-04-19,3.512687,3.529906,3.409373,3.512687,2.656467,405075
2000-04-20,3.512687,3.512687,3.357716,3.357716,2.539272,611967
2000-04-24,3.409373,3.581563,3.392154,3.529906,2.669488,1029020
2000-04-25,3.547125,3.702097,3.495468,3.598782,2.721575,1022849
2000-04-26,3.598782,3.684878,3.598782,3.633220,2.747619,757155
2000-04-27,3.633220,3.667658,3.581563,3.650439,2.760641,671132
2000-04-28,3.667658,3.667658,3.478249,3.564344,2.695532,565507
2000-05-01,3.633220,3.633220,3.564344,3.581563,2.708554,1172756
2000-05-02,3.581563,3.753754,3.564344,3.616001,2.734597,1048983
2000-05-03,3.633220,3.684878,3.495468,3.529906,2.669488,687828
2000-05-04,3.564344,3.633220,3.564344,3.633220,2.747619,532840
2000-05-05,3.702097,3.857068,3.633220,3.857068,2.916903,2368379
2000-05-08,3.925944,3.925944,3.736535,3.788192,2.864816,830475
2000-05-09,3.753754,4.029259,3.753754,3.908725,2.955970,999619
2000-05-10,3.925944,3.960382,3.667658,3.684878,2.786686,427942
2000-05-11,3.702097,3.805411,3.667658,3.805411,2.886472,457342
2000-05-12,3.770973,3.994821,3.770973,3.943163,2.990959,815594
2000-05-15,3.925944,3.960382,3.874287,3.908725,2.964835,303806
2000-05-16,3.977601,4.012040,3.908725,3.960382,3.004019,500173
2000-05-17,3.943163,3.994821,3.770973,3.822630,2.899532,634109
2000-05-18,3.788192,3.822630,3.684878,3.684878,2.795044,476580
2000-05-19,3.684878,3.719316,3.547125,3.564344,2.703617,779297
2000-05-22,3.478249,3.581563,3.461030,3.529906,2.677496,844994
2000-05-23,3.495468,3.598782,3.478249,3.495468,2.651374,689643
2000-05-24,3.495468,3.581563,3.478249,3.581563,2.716678,545181
2000-05-25,3.564344,3.650439,3.564344,3.616001,2.742800,468957
2000-05-26,3.616001,3.616001,3.512687,3.616001,2.742800,740459
2000-05-30,3.581563,3.667658,3.581563,3.650439,2.768922,353533
2000-05-31,3.616001,3.650439,3.581563,3.598782,2.729739,403986
2000-06-01,3.581563,3.667658,3.581563,3.616001,2.742800,554981
2000-06-02,3.770973,3.874287,3.736535,3.874287,2.938715,857698
2000-06-05,3.857068,3.874287,3.719316,3.770973,2.860349,386200
2000-06-06,3.770973,3.839849,3.770973,3.805411,2.886472,284206
2000-06-07,3.753754,3.770973,3.702097,3.770973,2.860349,382207
2000-06-08,3.753754,3.770973,3.753754,3.753754,2.847288,333932
2000-06-09,3.788192,3.822630,3.753754,3.788192,2.873410,124136
2000-06-12,3.788192,3.839849,3.633220,3.650439,2.768922,774941
2000-06-13,3.616001,3.719316,3.616001,3.719316,2.821167,445727
2000-06-14,3.753754,3.770973,3.719316,3.736535,2.834227,282391
2000-06-15,3.667658,3.719316,3.616001,3.667658,2.781983,741911
2000-06-16,3.702097,3.805411,3.667658,3.788192,2.873410,830838
2000-06-19,3.788192,3.805411,3.719316,3.788192,2.873410,271139
2000-06-20,3.788192,3.788192,3.667658,3.684878,2.795044,445364
2000-06-21,3.770973,3.770973,3.684878,3.719316,2.821167,786556
2000-06-22,3.736535,3.736535,3.650439,3.650439,2.768922,393459
2000-06-23,3.633220,3.650439,3.581563,3.616001,2.742800,747718
2000-06-26,3.650439,3.719316,3.650439,3.684878,2.795044,321954
2000-06-27,3.684878,3.839849,3.667658,3.805411,2.886472,471861
2000-06-28,3.805411,3.822630,3.770973,3.770973,2.860349,399267
2000-06-29,3.753754,3.960382,3.753754,3.857068,2.925653,682747
2000-06-30,3.908725,3.994821,3.736535,3.736535,2.834227,1821020
2000-07-03,3.788192,3.943163,3.788192,3.925944,2.977896,236656
2000-07-05,3.943163,4.080916,3.908725,4.063697,3.082384,1027205
2000-07-06,4.080916,4.149792,4.080916,4.132573,3.134629,870402
2000-07-07,4.149792,4.201449,4.046478,4.098135,3.108507,645724
2000-07-10,4.012040,4.132573,3.891506,4.115354,3.121567,1103792
2000-07-11,3.977601,4.029259,3.925944,3.960382,3.004019,533566
2000-07-12,3.977601,4.098135,3.960382,4.063697,3.082384,752074
2000-07-13,4.063697,4.063697,3.857068,3.925944,2.977896,889277
2000-07-14,3.960382,4.029259,3.891506,3.891506,2.951775,394548
2000-07-17,3.994821,4.029259,3.925944,3.960382,3.004019,415964
2000-07-18,3.943163,4.098135,3.943163,3.994821,3.030141,542277
2000-07-19,4.012040,4.115354,3.994821,4.098135,3.108507,311065
2000-07-20,4.080916,4.218668,4.080916,4.184230,3.173811,672946
2000-07-21,4.253106,4.253106,4.132573,4.218668,3.199934,699806
2000-07-24,4.235887,4.253106,4.080916,4.115354,3.121567,731385
2000-07-25,4.149792,4.184230,4.063697,4.098135,3.108507,822490
2000-07-26,4.080916,4.304763,4.080916,4.287544,3.252177,847898
2000-07-27,4.373640,4.373640,4.339202,4.339202,3.291362,628664
2000-07-28,4.356421,4.356421,4.201449,4.218668,3.199934,878387
2000-07-31,4.184230,4.270325,4.184230,4.270325,3.239117,584382
2000-08-01,4.270325,4.373640,4.218668,4.373640,3.317484,328488
2000-08-02,4.339202,4.390859,4.339202,4.373640,3.317484,377489
2000-08-03,4.373640,4.476954,4.321983,4.459735,3.382787,601804
2000-08-04,4.459735,4.528611,4.442516,4.528611,3.435031,466416
2000-08-07,4.597487,5.010745,4.563049,5.010745,3.800738,1957497
2000-08-08,4.959088,5.389564,4.959088,5.286250,4.009714,3181069
2000-08-09,5.303469,5.389564,5.062402,5.062402,3.839920,1517215
2000-08-10,5.062402,5.062402,4.855773,4.959088,3.761556,675124
2000-08-11,4.993526,5.234592,4.993526,5.234592,3.970531,858787
2000-08-14,5.217373,5.286250,5.131278,5.165716,3.926553,484565
2000-08-15,5.148497,5.165716,4.993526,4.993526,3.795667,618864
2000-08-16,5.027964,5.027964,4.924649,4.993526,3.795667,479120
2000-08-17,5.045183,5.096840,4.872992,4.976307,3.782581,436653
2000-08-18,4.959088,4.976307,4.804116,4.855773,3.690959,618864
2000-08-21,4.907430,4.959088,4.890211,4.941868,3.756399,399267
