Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.296875,4.343750,3.750000,3.875000,3.304695,3971200
2000-01-04,3.750000,3.906250,3.687500,3.875000,3.304695,5402800
2000-01-05,3.812500,3.875000,3.718750,3.765625,3.211417,3598000
2000-01-06,3.765625,4.125000,3.734375,4.078125,3.477925,3956000
2000-01-07,4.125000,4.187500,3.984375,4.031250,3.437949,2756400
2000-01-10,3.968750,4.062500,3.906250,4.062500,3.464599,1998800
2000-01-11,4.000000,4.156250,4.000000,4.093750,3.491249,2788400
2000-01-12,4.078125,4.140625,4.015625,4.093750,3.497658,2079200
2000-01-13,4.125000,4.234375,4.109375,4.171875,3.564406,4296400
2000-01-14,4.234375,4.281250,4.140625,4.250000,3.631156,5099200
2000-01-18,4.312500,4.484375,4.171875,4.265625,3.644505,3706800
2000-01-19,4.328125,4.453125,4.281250,4.281250,3.657855,1662400
2000-01-20,4.265625,4.281250,4.000000,4.187500,3.577757,4240800
2000-01-21,4.234375,4.328125,4.031250,4.062500,3.470958,7760000
2000-01-24,4.000000,4.046875,3.859375,3.968750,3.390860,5458400
2000-01-25,3.968750,4.046875,3.890625,3.906250,3.337459,5332000
2000-01-26,3.921875,4.062500,3.921875,3.953125,3.377510,4566400
2000-01-27,3.968750,4.031250,3.812500,3.859375,3.297411,2605200
2000-01-28,3.859375,3.921875,3.796875,3.812500,3.257361,2298000
2000-01-31,3.875000,3.984375,3.765625,3.968750,3.390860,3082800
2000-02-01,3.937500,4.046875,3.906250,4.000000,3.417559,2764000
2000-02-02,4.062500,4.171875,4.062500,4.125000,3.524358,4101200
2000-02-03,4.156250,4.203125,4.031250,4.031250,3.444259,3419200
2000-02-04,4.015625,4.140625,3.812500,3.921875,3.350809,2589200
2000-02-07,3.984375,4.031250,3.859375,3.890625,3.324110,3120800
2000-02-08,3.921875,3.968750,3.828125,3.875000,3.310759,2361600
2000-02-09,3.906250,3.968750,3.718750,3.765625,3.217312,3786400
2000-02-10,3.765625,3.968750,3.765625,3.968750,3.390860,3636800
2000-02-11,3.984375,3.984375,3.812500,3.906250,3.337459,3043600
2000-02-14,3.906250,3.968750,3.828125,3.937500,3.364160,2067200
2000-02-15,3.937500,4.125000,3.921875,4.062500,3.470958,2679600
2000-02-16,4.093750,4.140625,3.984375,3.984375,3.404209,2467600
2000-02-17,4.015625,4.046875,3.968750,4.046875,3.457608,4590800
2000-02-18,4.046875,4.062500,3.921875,3.921875,3.350809,2795200
2000-02-22,3.906250,3.953125,3.796875,3.875000,3.310759,1354400
2000-02-23,3.843750,3.937500,3.671875,3.687500,3.150562,2829600
2000-02-24,3.734375,3.734375,3.437500,3.500000,2.990364,5046800
2000-02-25,3.515625,3.562500,3.421875,3.468750,2.963665,5426400
2000-02-28,3.515625,3.625000,3.453125,3.546875,3.030414,3141200
2000-02-29,3.546875,3.812500,3.531250,3.812500,3.257361,8637600
2000-03-01,3.875000,3.937500,3.812500,3.906250,3.337459,6214400
2000-03-02,4.000000,4.468750,4.000000,4.437500,3.791355,8708800
2000-03-03,4.437500,4.531250,4.156250,4.328125,3.697907,6155200
2000-03-06,4.281250,4.468750,4.250000,4.343750,3.711255,1912400
2000-03-07,4.531250,4.734375,4.406250,4.671875,3.991602,4027600
2000-03-08,4.656250,4.859375,4.531250,4.718750,4.031651,6978400
2000-03-09,4.750000,4.781250,4.593750,4.687500,4.004951,2698800
2000-03-10,4.609375,4.781250,4.500000,4.640625,3.964904,4815600
2000-03-13,4.578125,4.734375,4.546875,4.562500,3.898154,1570000
2000-03-14,4.578125,4.703125,4.531250,4.625000,3.951552,2675200
2000-03-15,4.687500,4.718750,4.468750,4.578125,3.911503,2478400
2000-03-16,4.578125,4.843750,4.562500,4.687500,4.004951,3574800
2000-03-17,4.687500,4.750000,4.578125,4.625000,3.951552,1438800
2000-03-20,4.578125,4.609375,4.437500,4.593750,3.924854,2441600
2000-03-21,4.593750,4.718750,4.546875,4.671875,3.991602,3318400
2000-03-22,4.781250,4.921875,4.593750,4.734375,4.045002,7837600
2000-03-23,4.750000,4.765625,4.687500,4.750000,4.058353,2806000
2000-03-24,4.734375,4.781250,4.593750,4.609375,3.938202,3700000
2000-03-27,4.593750,4.718750,4.562500,4.609375,3.938202,3110800
2000-03-28,4.671875,4.968750,4.671875,4.828125,4.125103,3733600
2000-03-29,4.843750,5.421875,4.843750,5.273438,4.505570,5833600
2000-03-30,5.421875,6.015625,5.375000,5.750000,4.912740,11296000
2000-03-31,5.734375,5.937500,5.296875,5.296875,4.525595,6144800
2000-04-03,5.500000,5.843750,5.437500,5.812500,4.966141,4421600
2000-04-04,5.968750,6.015625,5.453125,5.671875,4.845993,8818400
2000-04-05,5.781250,5.875000,5.468750,5.578125,4.765895,4235200
2000-04-06,5.640625,5.843750,5.609375,5.812500,4.966141,2180800
