Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.875000,33.875000,33.187500,33.312500,14.784572,12200
2000-01-04,33.187500,33.375000,32.625000,32.937500,14.618136,62700
2000-01-05,32.625000,33.000000,32.625000,32.812500,14.562663,96900
2000-01-06,32.812500,33.250000,32.562500,33.125000,14.701354,72500
2000-01-07,33.125000,34.500000,33.125000,34.250000,15.200651,39400
2000-01-10,34.375000,34.375000,33.750000,34.062500,15.117430,23300
2000-01-11,33.812500,34.187500,33.687500,33.687500,14.951006,46400
2000-01-12,33.937500,33.937500,33.625000,33.625000,14.923256,43500
2000-01-13,33.625000,34.000000,33.562500,34.000000,15.089697,14300
2000-01-14,34.062500,34.062500,33.687500,33.875000,15.034215,10100
2000-01-18,33.812500,33.812500,33.375000,33.750000,14.978740,27600
2000-01-19,34.000000,34.250000,34.000000,34.125000,15.145175,57900
2000-01-20,34.187500,34.312500,34.125000,34.312500,15.228381,18400
2000-01-21,34.125000,34.187500,34.000000,34.062500,15.117430,12700
2000-01-24,33.937500,34.125000,33.750000,34.000000,15.089697,36900
2000-01-25,34.000000,34.250000,34.000000,34.187500,15.172904,26000
2000-01-26,34.062500,34.250000,34.062500,34.125000,15.145175,11200
2000-01-27,34.125000,34.500000,33.875000,34.375000,15.256120,19800
2000-01-28,34.250000,34.500000,33.937500,33.937500,15.061956,19300
2000-01-31,34.000000,34.000000,33.875000,34.000000,15.089697,66300
2000-02-01,34.000000,34.625000,34.000000,34.625000,15.367077,30500
2000-02-02,34.625000,34.750000,34.500000,34.562500,15.339344,30100
2000-02-03,34.562500,35.000000,34.562500,34.875000,15.478029,21000
2000-02-04,34.812500,35.125000,34.687500,35.062500,15.561247,16000
2000-02-07,35.125000,35.125000,34.750000,34.812500,15.450292,19800
2000-02-08,34.812500,34.812500,34.375000,34.375000,15.256120,49800
2000-02-09,34.250000,34.500000,33.812500,34.312500,15.228381,20300
2000-02-10,34.375000,34.375000,34.125000,34.375000,15.256120,14300
2000-02-11,34.250000,34.375000,34.250000,34.312500,15.228381,18200
2000-02-14,34.312500,34.562500,34.250000,34.562500,15.339344,44000
2000-02-15,34.625000,34.625000,34.062500,34.437500,15.283858,32900
2000-02-16,34.375000,34.375000,33.875000,34.250000,15.200651,18700
2000-02-17,34.375000,34.375000,34.125000,34.375000,15.256120,25200
2000-02-18,34.312500,34.750000,34.250000,34.437500,15.283858,32600
2000-02-22,34.437500,34.937500,34.375000,34.937500,15.505769,18300
2000-02-23,34.937500,34.937500,34.625000,34.875000,15.478029,13700
2000-02-24,34.750000,34.812500,34.562500,34.687500,15.394816,34200
2000-02-25,34.500000,34.562500,34.312500,34.375000,15.256120,23500
