Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.312500,8.375000,7.375000,7.562500,6.935956,1287300
2000-01-04,7.375000,7.875000,7.375000,7.625000,6.993278,1238300
2000-01-05,7.500000,7.875000,7.500000,7.812500,7.165244,1096300
2000-01-06,7.750000,8.250000,7.500000,8.125000,7.451853,1026700
2000-01-07,8.187500,9.125000,8.062500,8.750000,8.025069,2419300
2000-01-10,8.875000,8.937500,8.375000,8.375000,7.681141,1276200
2000-01-11,8.375000,8.750000,8.250000,8.250000,7.566494,693700
2000-01-12,8.375000,8.687500,8.250000,8.437500,7.738462,764000
2000-01-13,8.562500,9.500000,8.562500,9.250000,8.483648,1760600
2000-01-14,9.375000,9.625000,8.250000,8.250000,7.566494,1429000
2000-01-18,9.000000,9.000000,8.375000,8.625000,7.910427,776600
2000-01-19,8.687500,8.687500,8.000000,8.000000,7.337209,1220100
2000-01-20,8.000000,8.062500,7.687500,7.750000,7.107922,1744500
2000-01-21,7.750000,8.062500,7.687500,7.812500,7.165244,1670100
2000-01-24,7.937500,8.125000,7.625000,7.937500,7.279888,1001400
2000-01-25,7.500000,7.812500,7.500000,7.750000,7.107922,994500
2000-01-26,7.750000,8.062500,7.750000,7.875000,7.222565,821500
2000-01-27,8.000000,8.062500,7.625000,7.625000,6.993278,421200
2000-01-28,7.375000,8.062500,7.125000,7.625000,6.993278,1775700
2000-01-31,7.625000,8.187500,7.625000,8.000000,7.337209,858700
2000-02-01,8.000000,8.375000,8.000000,8.250000,7.566494,783600
2000-02-02,8.312500,8.625000,8.250000,8.312500,7.623819,597300
2000-02-03,8.312500,8.625000,8.312500,8.437500,7.738462,773500
2000-02-04,8.562500,8.750000,8.375000,8.375000,7.681141,481200
2000-02-07,8.500000,8.625000,8.312500,8.437500,7.738462,574300
2000-02-08,8.437500,8.562500,8.062500,8.187500,7.509175,713800
2000-02-09,7.812500,8.125000,7.437500,7.562500,6.935956,1495000
2000-02-10,7.437500,7.500000,7.000000,7.187500,6.592023,1307800
2000-02-11,7.125000,7.125000,6.687500,6.875000,6.305413,983900
2000-02-14,6.937500,7.500000,6.812500,7.437500,6.821311,902200
2000-02-15,7.562500,7.687500,7.375000,7.562500,6.935956,753600
2000-02-16,7.562500,7.687500,7.187500,7.375000,6.763989,535300
2000-02-17,7.437500,7.437500,7.062500,7.125000,6.534703,417200
2000-02-18,7.125000,7.250000,7.000000,7.062500,6.477379,357400
2000-02-22,7.000000,7.062500,6.875000,7.062500,6.477379,517200
2000-02-23,7.000000,7.250000,6.812500,7.125000,6.534703,628800
2000-02-24,7.250000,7.250000,6.875000,6.875000,6.305413,467600
2000-02-25,6.875000,7.062500,6.625000,6.625000,6.076124,457300
2000-02-28,6.812500,6.875000,6.500000,6.625000,6.076124,496300
2000-02-29,6.625000,6.937500,6.562500,6.812500,6.248093,528900
2000-03-01,7.375000,7.750000,6.750000,7.750000,7.107922,1445100
2000-03-02,7.750000,7.875000,6.875000,6.937500,6.362735,1200200
2000-03-03,7.187500,7.375000,7.062500,7.312500,6.706667,904700
2000-03-06,7.062500,7.125000,6.875000,7.000000,6.420057,479500
2000-03-07,7.000000,7.000000,6.125000,6.125000,5.617549,759200
2000-03-08,6.562500,6.750000,6.250000,6.500000,5.961481,1122700
2000-03-09,6.437500,6.687500,6.312500,6.562500,6.018804,523300
2000-03-10,6.500000,6.562500,6.312500,6.437500,5.904161,487000
2000-03-13,6.437500,6.750000,6.437500,6.687500,6.133449,448100
2000-03-14,6.687500,6.812500,6.500000,6.625000,6.076124,464800
2000-03-15,6.750000,7.187500,6.562500,7.187500,6.592023,718100
2000-03-16,7.062500,7.312500,6.875000,7.250000,6.649345,513900
2000-03-17,7.250000,7.312500,6.875000,7.000000,6.420057,527100
2000-03-20,7.187500,7.187500,7.000000,7.125000,6.534703,303000
2000-03-21,7.250000,7.312500,7.062500,7.187500,6.592023,417300
2000-03-22,7.062500,7.375000,7.062500,7.187500,6.592023,316200
2000-03-23,7.125000,7.500000,7.062500,7.500000,6.878634,504200
2000-03-24,7.312500,7.500000,7.250000,7.312500,6.706667,274300
2000-03-27,7.375000,7.375000,7.125000,7.187500,6.592023,303100
2000-03-28,7.062500,7.375000,7.062500,7.312500,6.706667,287000
2000-03-29,7.250000,7.750000,7.250000,7.500000,6.878634,566200
2000-03-30,7.625000,8.000000,7.562500,7.562500,6.935956,768900
2000-03-31,7.437500,7.562500,7.250000,7.312500,6.706667,370500
2000-04-03,7.437500,7.875000,7.375000,7.687500,7.050598,392300
2000-04-04,7.500000,7.750000,7.187500,7.625000,6.993278,437700
2000-04-05,7.625000,7.625000,7.187500,7.500000,6.878634,317200
2000-04-06,7.500000,8.062500,7.500000,7.937500,7.279888,734700
2000-04-07,7.937500,8.250000,7.937500,8.187500,7.509175,709200
2000-04-10,8.062500,8.437500,8.062500,8.312500,7.623819,716600
2000-04-11,8.187500,8.250000,8.000000,8.125000,7.451853,638000
2000-04-12,8.125000,8.187500,8.000000,8.062500,7.394530,673600
2000-04-13,7.562500,7.875000,7.562500,7.812500,7.165244,720100
2000-04-14,7.750000,7.750000,7.125000,7.125000,6.534703,636500
2000-04-17,7.125000,7.375000,7.000000,7.187500,6.592023,580500
2000-04-18,7.187500,7.500000,7.062500,7.312500,6.706667,417300
2000-04-19,7.500000,8.000000,7.500000,7.875000,7.222565,494700
2000-04-20,7.875000,8.000000,7.687500,7.875000,7.222565,280600
2000-04-24,7.812500,8.812500,7.812500,8.687500,7.967751,1399200
2000-04-25,8.375000,8.625000,8.312500,8.437500,7.738462,516600
2000-04-26,8.687500,8.750000,8.125000,8.187500,7.509175,319100
2000-04-27,8.125000,8.437500,8.062500,8.375000,7.681141,1046400
2000-04-28,8.375000,8.437500,7.687500,7.687500,7.050598,729200
2000-05-01,7.687500,7.937500,7.625000,7.750000,7.107922,678300
2000-05-02,7.437500,8.000000,7.437500,8.000000,7.337209,530000
2000-05-03,7.625000,7.687500,6.562500,6.687500,6.133449,1594200
2000-05-04,6.937500,6.937500,6.437500,6.625000,6.076124,1084600
2000-05-05,6.625000,7.000000,6.437500,7.000000,6.420057,459700
2000-05-08,6.687500,6.750000,6.375000,6.500000,5.961481,682100
2000-05-09,6.500000,6.562500,6.250000,6.312500,5.789515,527200
2000-05-10,6.500000,6.500000,6.062500,6.125000,5.617549,837100
2000-05-11,6.250000,6.437500,6.125000,6.312500,5.789515,457400
2000-05-12,6.312500,6.375000,6.125000,6.250000,5.732195,378000
2000-05-15,6.500000,6.687500,6.500000,6.500000,5.961481,617000
2000-05-16,6.687500,6.750000,6.500000,6.562500,6.018804,441400
2000-05-17,6.562500,6.687500,6.500000,6.500000,5.961481,437200
2000-05-18,6.500000,6.750000,6.500000,6.625000,6.076124,526900
2000-05-19,6.500000,6.562500,6.187500,6.375000,5.846839,548600
2000-05-22,6.375000,6.375000,6.125000,6.250000,5.732195,487700
2000-05-23,6.187500,6.250000,6.062500,6.187500,5.674872,883400
2000-05-24,6.250000,6.312500,5.812500,5.875000,5.388263,1400900
2000-05-25,5.937500,6.062500,5.750000,5.750000,5.273618,894100
2000-05-26,5.750000,6.000000,5.750000,5.812500,5.330941,422800
2000-05-30,5.812500,5.937500,5.562500,5.562500,5.101653,621300
2000-05-31,5.875000,5.875000,5.625000,5.625000,5.158975,805500
2000-06-01,5.750000,6.000000,5.750000,5.937500,5.445584,464500
2000-06-02,6.000000,6.062500,5.812500,5.812500,5.330941,767000
2000-06-05,5.937500,6.000000,5.687500,5.687500,5.216298,531300
2000-06-06,5.625000,5.625000,5.250000,5.375000,4.929688,1791200
2000-06-07,5.437500,5.437500,5.187500,5.187500,4.757721,938300
2000-06-08,5.187500,5.187500,4.812500,5.000000,4.585757,1420100
2000-06-09,5.062500,5.250000,4.812500,5.000000,4.585757,1254000
2000-06-12,5.000000,5.250000,4.937500,5.125000,4.700399,732000
2000-06-13,5.250000,5.250000,5.000000,5.187500,4.757721,888400
2000-06-14,5.250000,5.250000,5.125000,5.187500,4.757721,436200
2000-06-15,5.125000,5.250000,4.937500,5.000000,4.585757,860800
2000-06-16,5.000000,5.062500,4.750000,4.750000,4.356468,1032100
2000-06-19,4.812500,5.000000,4.812500,4.812500,4.413789,681300
2000-06-20,4.937500,5.000000,4.812500,4.875000,4.471111,768300
2000-06-21,4.875000,4.937500,4.812500,4.937500,4.528433,672500
2000-06-22,5.000000,5.187500,4.937500,5.000000,4.585757,1158500
2000-06-23,5.000000,5.125000,4.937500,5.000000,4.585757,787300
2000-06-26,5.062500,5.250000,5.000000,5.187500,4.757721,930700
2000-06-27,5.187500,5.250000,5.125000,5.187500,4.757721,483100
2000-06-28,5.250000,5.250000,5.000000,5.125000,4.700399,1767300
2000-06-29,5.187500,5.687500,5.125000,5.500000,5.044331,3368100
2000-06-30,5.562500,5.687500,4.859375,4.875000,4.471111,2230400
2000-07-03,5.187500,5.375000,5.000000,5.250000,4.815044,500000
2000-07-05,5.375000,5.437500,5.187500,5.250000,4.815044,686300
2000-07-06,5.375000,6.000000,5.125000,5.875000,5.388263,2218100
2000-07-07,5.937500,5.937500,5.750000,5.750000,5.273618,1292400
2000-07-10,5.750000,6.062500,5.750000,6.000000,5.502906,687500
2000-07-11,5.937500,6.000000,5.812500,5.937500,5.445584,516100
2000-07-12,5.937500,6.875000,5.937500,6.875000,6.305413,3500700
2000-07-13,7.125000,7.312500,6.875000,6.875000,6.305413,1590200
2000-07-14,7.062500,7.250000,7.000000,7.062500,6.477379,1439300
2000-07-17,7.375000,7.625000,7.125000,7.187500,6.592023,1703300
2000-07-18,6.937500,7.125000,6.750000,7.125000,6.534703,1606400
2000-07-19,7.125000,7.187500,7.000000,7.062500,6.477379,511600
2000-07-20,7.062500,7.437500,7.000000,7.437500,6.821311,1189800
2000-07-21,7.437500,7.625000,7.437500,7.562500,6.935956,885000
2000-07-24,7.500000,7.562500,7.000000,7.250000,6.649345,539300
2000-07-25,7.062500,7.375000,7.000000,7.312500,6.706667,510900
2000-07-26,7.312500,7.375000,7.062500,7.125000,6.534703,547900
2000-07-27,7.187500,7.437500,7.125000,7.375000,6.763989,491600
2000-07-28,7.312500,7.500000,7.000000,7.062500,6.477379,554500
2000-07-31,7.375000,7.375000,7.062500,7.312500,6.706667,428600
2000-08-01,7.312500,7.375000,7.187500,7.250000,6.649345,930500
2000-08-02,7.375000,7.375000,7.125000,7.250000,6.649345,598900
2000-08-03,6.937500,7.125000,6.750000,7.000000,6.420057,804900
2000-08-04,6.937500,7.187500,6.937500,7.125000,6.534703,525100
2000-08-07,7.125000,7.125000,7.000000,7.000000,6.420057,391300
2000-08-08,6.937500,7.125000,6.812500,6.812500,6.248093,939600
2000-08-09,6.875000,7.125000,6.625000,7.125000,6.534703,783600
2000-08-10,7.250000,7.375000,7.062500,7.187500,6.592023,785200
2000-08-11,7.312500,7.437500,7.125000,7.437500,6.821311,815100
2000-08-14,7.437500,8.625000,7.375000,8.562500,7.853107,2775000
2000-08-15,8.437500,8.437500,8.000000,8.000000,7.337209,568900
2000-08-16,8.062500,8.312500,8.000000,8.312500,7.623819,377900
2000-08-17,8.312500,8.562500,8.125000,8.437500,7.738462,801500
2000-08-18,8.312500,8.375000,8.000000,8.000000,7.337209,348100
2000-08-21,8.000000,8.187500,8.000000,8.062500,7.394530,291800
2000-08-22,8.125000,8.125000,8.000000,8.125000,7.451853,288700
2000-08-23,8.062500,8.125000,7.937500,8.000000,7.337209,355500
2000-08-24,8.000000,8.125000,7.937500,8.000000,7.337209,262300
2000-08-25,8.062500,8.500000,7.937500,7.937500,7.279888,257200
2000-08-28,7.937500,8.250000,7.937500,8.125000,7.451853,402000
2000-08-29,8.125000,8.375000,8.062500,8.250000,7.566494,339700
2000-08-30,8.250000,8.625000,8.250000,8.562500,7.853107,491500
2000-08-31,8.750000,9.062500,8.562500,8.578125,7.867437,894900
2000-09-01,8.687500,8.687500,8.375000,8.375000,7.681141,231500
2000-09-05,8.500000,8.500000,8.125000,8.187500,7.509175,792800
2000-09-06,8.187500,8.312500,8.125000,8.312500,7.623819,417000
2000-09-07,8.437500,8.625000,8.375000,8.437500,7.738462,309600
2000-09-08,8.375000,8.875000,8.375000,8.812500,8.082396,402000
2000-09-11,8.812500,8.812500,8.375000,8.375000,7.681141,323500
2000-09-12,8.437500,8.562500,8.312500,8.500000,7.795787,645100
2000-09-13,8.375000,8.437500,8.125000,8.312500,7.623819,435300
2000-09-14,8.375000,8.812500,8.312500,8.812500,8.082396,449900
2000-09-15,8.812500,9.625000,8.750000,9.312500,8.540972,2325500
2000-09-18,9.125000,9.312500,8.812500,9.125000,8.369004,538900
2000-09-19,9.062500,9.500000,8.750000,9.437500,8.655612,609800
2000-09-20,9.312500,9.375000,8.875000,9.250000,8.483648,578000
2000-09-21,9.250000,9.375000,9.062500,9.312500,8.540972,426200
2000-09-22,9.187500,10.250000,8.937500,10.000000,9.171514,1516900
2000-09-25,9.875000,10.437500,9.625000,10.250000,9.400799,1681000
2000-09-26,9.937500,10.125000,9.562500,10.125000,9.286153,1121800
2000-09-27,10.125000,10.125000,9.375000,9.875000,9.056867,805100
2000-09-28,10.750000,10.875000,10.125000,10.750000,9.859375,1665100
2000-09-29,10.437500,10.812500,10.312500,10.750000,9.859375,853800
2000-10-02,11.000000,11.625000,10.937500,11.625000,10.661881,1919000
2000-10-03,11.750000,12.000000,11.250000,11.500000,10.547236,2411300
2000-10-04,11.562500,12.000000,11.500000,11.937500,10.948491,1182300
2000-10-05,11.875000,12.375000,11.875000,12.250000,11.235098,1376100
2000-10-06,11.937500,12.000000,11.125000,11.375000,10.432595,1121900
2000-10-09,11.500000,11.625000,10.562500,10.625000,9.744731,884700
2000-10-10,10.625000,11.437500,10.625000,11.437500,10.489916,977700
2000-10-11,11.125000,11.187500,10.375000,11.000000,10.088661,2038300
2000-10-12,11.000000,11.000000,10.062500,10.500000,9.630088,1202800
2000-10-13,10.062500,10.750000,10.062500,10.625000,9.744731,934300
2000-10-16,10.437500,11.250000,10.375000,11.125000,10.203305,787700
2000-10-17,11.062500,11.250000,10.562500,10.625000,9.744731,454500
2000-10-18,10.375000,10.562500,10.250000,10.500000,9.630088,499500
2000-10-19,10.750000,10.812500,10.312500,10.437500,9.572763,1186700
2000-10-20,10.437500,10.625000,10.312500,10.500000,9.630088,474400
2000-10-23,10.250000,11.187500,10.125000,11.125000,10.203305,762100
2000-10-24,11.125000,11.187500,10.750000,10.937500,10.031340,714800
2000-10-25,11.000000,11.187500,10.750000,11.125000,10.203305,474000
2000-10-26,11.250000,12.125000,11.187500,11.812500,10.833843,1360500
2000-10-27,11.687500,11.812500,11.250000,11.312500,10.375271,883800
2000-10-30,11.312500,11.750000,11.187500,11.625000,10.661881,2263900
2000-10-31,11.750000,12.250000,11.500000,12.125000,11.120454,2531000
2000-11-01,12.250000,12.875000,12.250000,12.875000,11.808323,1521100
2000-11-02,13.000000,13.187500,12.500000,12.812500,11.751000,1674800
2000-11-03,12.875000,12.875000,12.000000,12.625000,11.579031,982000
2000-11-06,12.562500,12.937500,12.250000,12.687500,11.636355,927200
2000-11-07,12.937500,12.937500,12.625000,12.812500,11.751000,494900
2000-11-08,12.750000,13.625000,12.750000,13.375000,12.266898,1709800
2000-11-09,13.000000,13.312500,12.500000,13.250000,12.152247,1151800
2000-11-10,13.125000,13.687500,13.000000,13.625000,12.496185,892800
2000-11-13,13.000000,13.812500,12.875000,13.562500,12.438862,1060100
2000-11-14,13.125000,14.125000,13.125000,14.062500,12.897435,833000
2000-11-15,14.000000,14.062500,13.500000,13.562500,12.438862,930500
2000-11-16,13.750000,14.625000,13.687500,14.312500,13.126726,1063400
2000-11-17,14.250000,14.875000,13.875000,14.562500,13.356012,1722700
2000-11-20,13.000000,13.250000,11.875000,11.937500,10.948491,1965900
2000-11-21,12.125000,12.250000,11.875000,12.062500,11.063137,943100
2000-11-22,12.062500,12.062500,11.562500,11.937500,10.948491,726200
2000-11-24,11.875000,12.062500,11.750000,12.062500,11.063137,298200
2000-11-27,12.437500,12.500000,11.250000,11.562500,10.604558,919800
2000-11-28,11.437500,11.812500,11.312500,11.625000,10.661881,530600
2000-11-29,11.625000,12.000000,11.375000,11.875000,10.891169,647300
2000-11-30,12.125000,12.812500,12.000000,12.000000,11.005813,759500
2000-12-01,12.000000,12.875000,12.000000,12.812500,11.751000,592200
2000-12-04,12.687500,12.812500,12.375000,12.812500,11.751000,435400
2000-12-05,12.625000,13.187500,12.437500,12.562500,11.521710,772200
2000-12-06,12.937500,13.062500,12.437500,12.562500,11.521710,638500
2000-12-07,12.437500,12.625000,12.312500,12.375000,11.349744,187400
2000-12-08,12.500000,12.937500,12.062500,12.812500,11.751000,411700
2000-12-11,13.062500,13.312500,12.437500,12.437500,11.407067,812700
2000-12-12,12.500000,13.187500,12.500000,12.812500,11.751000,403500
2000-12-13,12.687500,12.687500,12.125000,12.312500,11.292422,564200
2000-12-14,12.625000,13.000000,12.250000,12.625000,11.579031,371800
2000-12-15,13.000000,13.125000,12.062500,12.125000,11.120454,1168500
2000-12-18,12.187500,13.812500,11.875000,13.375000,12.266898,1697200
2000-12-19,13.500000,13.750000,13.000000,13.437500,12.324215,805200
2000-12-20,13.125000,14.875000,13.062500,14.375000,13.184046,1926200
2000-12-21,14.125000,14.375000,13.875000,14.375000,13.184046,925000
2000-12-22,14.062500,14.375000,14.000000,14.312500,13.126726,455200
2000-12-26,14.125000,14.812500,13.875000,14.812500,13.585299,557000
2000-12-27,14.687500,15.187500,14.625000,14.937500,13.699945,562400
2000-12-28,15.000000,15.375000,14.875000,15.375000,14.101195,460900
2000-12-29,15.375000,15.812500,15.125000,15.250000,13.986555,639400
2001-01-02,14.500000,15.250000,14.312500,14.937500,13.699945,933100
2001-01-03,14.687500,15.625000,14.250000,14.437500,13.241372,1077200
2001-01-04,14.375000,14.437500,12.250000,13.187500,12.094930,1217600
2001-01-05,13.000000,14.250000,12.750000,13.625000,12.496185,1606100
2001-01-08,13.625000,14.500000,13.312500,13.562500,12.438862,873700
2001-01-09,13.562500,14.187500,13.062500,14.000000,12.840114,1285400
2001-01-10,13.875000,14.750000,13.750000,14.375000,13.184046,837000
2001-01-11,14.812500,14.812500,14.000000,14.125000,12.954758,519700
2001-01-12,14.062500,14.062500,13.500000,13.625000,12.496185,503300
2001-01-16,13.312500,13.437500,12.812500,13.250000,12.152247,768200
2001-01-17,13.125000,13.187500,12.250000,12.562500,11.521710,871400
2001-01-18,12.750000,12.750000,11.937500,12.187500,11.177780,800900
2001-01-19,11.812500,12.000000,10.875000,11.000000,10.088661,2032700
2001-01-22,11.437500,12.312500,11.125000,12.250000,11.235098,1466400
2001-01-23,12.062500,12.937500,12.062500,12.687500,11.636355,841100
2001-01-24,12.687500,12.937500,12.375000,12.500000,11.464391,660900
2001-01-25,12.750000,12.875000,12.250000,12.625000,11.579031,483500
2001-01-26,12.500000,12.812500,12.312500,12.500000,11.464391,573000
2001-01-29,12.900000,12.900000,12.450000,12.800000,11.739532,330700
2001-01-30,12.400000,12.680000,12.350000,12.510000,11.473560,667600
2001-01-31,12.510000,12.810000,11.890000,11.950000,10.959957,784400
2001-02-01,11.950000,12.450000,11.950000,11.990000,10.996645,698200
2001-02-02,11.990000,12.620000,11.990000,12.300000,11.280959,841900
2001-02-05,12.600000,13.120000,12.310000,12.790000,11.730361,786200
2001-02-06,12.300000,12.740000,12.050000,12.250000,11.235098,1080400
2001-02-07,12.750000,13.250000,12.350000,12.580000,11.537760,2915600
2001-02-08,13.000000,13.130000,12.710000,12.800000,11.739532,1302500
2001-02-09,12.800000,12.950000,12.270000,12.360000,11.335984,560400
2001-02-12,12.360000,13.490000,12.360000,13.450000,12.335684,1362700
2001-02-13,13.180000,13.500000,13.000000,13.090000,12.005507,770900
2001-02-14,13.450000,13.990000,13.110000,13.450000,12.335684,1472800
2001-02-15,13.740000,13.750000,13.420000,13.600000,12.473253,657300
2001-02-16,13.700000,13.740000,13.300000,13.330000,12.225626,556200
2001-02-20,13.300000,13.600000,13.100000,13.190000,12.097225,724800
2001-02-21,13.250000,13.550000,13.000000,13.120000,12.033023,773500
2001-02-22,13.500000,13.500000,12.800000,13.100000,12.014682,739500
2001-02-23,12.800000,13.000000,12.500000,12.500000,11.464391,1737900
2001-02-26,12.650000,13.100000,12.500000,12.850000,11.785393,938700
2001-02-27,12.550000,13.600000,12.500000,13.250000,12.152247,860500
2001-02-28,13.650000,13.800000,13.150000,13.500000,12.381540,757800
2001-03-01,13.500000,13.950000,12.920000,13.750000,12.610826,889700
2001-03-02,13.500000,13.970000,13.410000,13.630000,12.500770,795700
2001-03-05,13.650000,13.990000,13.400000,13.800000,12.656685,538000
2001-03-06,13.400000,14.000000,13.400000,13.610000,12.482430,358600
2001-03-07,13.850000,13.980000,13.770000,13.960000,12.803428,428900
2001-03-08,14.000000,14.000000,13.710000,13.850000,12.702544,296000
2001-03-09,13.850000,13.990000,12.900000,13.100000,12.014682,933500
2001-03-12,12.650000,13.250000,12.590000,12.590000,11.546931,1147600
2001-03-13,12.500000,13.050000,12.450000,13.000000,11.922962,496900
2001-03-14,12.750000,13.030000,12.260000,12.810000,11.748707,507800
2001-03-15,12.710000,12.980000,12.470000,12.970000,11.895451,535500
2001-03-16,12.700000,12.800000,12.370000,12.500000,11.464391,860300
2001-03-19,12.400000,12.500000,12.000000,12.300000,11.280959,873700
2001-03-20,11.850000,12.450000,11.850000,11.930000,10.941613,633100
2001-03-21,11.500000,11.510000,11.060000,11.070000,10.152865,1396300
2001-03-22,11.000000,11.000000,9.800000,10.200000,9.354943,1964900
2001-03-23,10.350000,10.720000,10.300000,10.500000,9.630088,959000
2001-03-26,10.600000,10.990000,10.400000,10.590000,9.712627,635500
