Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.636700,12.636700,12.075725,12.252875,8.560297,670618
2000-01-04,12.134775,12.134775,11.367125,11.780475,8.230262,893734
2000-01-05,11.810000,11.810000,11.455700,11.662375,8.147752,429509
2000-01-06,11.721425,11.750950,11.455700,11.573800,8.085870,430356
2000-01-07,11.691900,11.810000,11.514750,11.810000,8.250887,486664
2000-01-10,11.869050,11.987150,11.750950,11.810000,8.250887,868755
2000-01-11,11.632850,11.750950,11.219500,11.514750,8.044617,631668
2000-01-12,11.810000,12.046200,11.780475,11.839525,8.271515,1073243
2000-01-13,11.839525,13.138625,11.780475,12.991000,9.075980,1501693
2000-01-14,12.931950,13.817700,12.754800,13.817700,9.653538,1070279
2000-01-18,13.581500,13.965325,13.050050,13.315775,9.302871,954488
2000-01-19,12.961475,13.109100,12.548125,13.109100,9.158483,879975
2000-01-20,13.050050,13.994850,13.050050,13.699600,9.571026,1570703
2000-01-21,13.935800,14.024375,13.522450,13.611025,9.509142,1061177
2000-01-24,13.640550,14.083425,13.286250,13.433875,9.385381,1357536
2000-01-25,13.551975,13.758650,13.315775,13.758650,9.612284,755292
2000-01-26,13.404350,15.234900,13.404350,15.116800,10.561133,2592295
2000-01-27,15.116800,15.736825,15.087275,15.441575,10.788034,1991533
2000-01-28,15.412050,15.412050,13.876750,14.614875,10.210469,1195385
2000-01-31,14.378675,14.408200,13.699600,13.699600,9.571026,1160034
2000-02-01,13.994850,15.116800,13.817700,14.851075,10.375489,1160246
2000-02-02,14.851075,14.880600,14.260575,14.555825,10.169221,727350
2000-02-03,14.939650,15.116800,14.437725,15.028225,10.499251,932896
2000-02-04,14.910125,15.175850,14.851075,15.116800,10.561133,769687
2000-02-07,14.821550,15.293950,14.821550,14.939650,10.437374,477985
2000-02-08,15.057750,15.293950,14.910125,15.057750,10.519882,591660
2000-02-09,15.057750,16.445425,14.998700,15.707300,10.973680,1598222
2000-02-10,15.766350,15.825400,15.234900,15.530150,10.849916,1237511
2000-02-11,15.353000,15.353000,14.467250,14.969175,10.458000,840390
2000-02-14,15.028225,15.441575,14.969175,15.146325,10.581765,1118120
2000-02-15,15.205375,15.471100,15.116800,15.353000,10.726152,940093
2000-02-16,15.353000,15.353000,14.998700,15.087275,10.540504,1076842
2000-02-17,15.028225,15.116800,14.732975,14.939650,10.437374,548264
2000-02-18,14.910125,14.969175,14.762500,14.880600,10.396116,307790
2000-02-22,14.585350,14.585350,13.640550,14.496775,10.127964,1098222
2000-02-23,14.378675,14.880600,14.142475,14.290100,9.983577,2277942
2000-02-24,14.437725,15.116800,14.408200,14.939650,10.437374,1919983
2000-02-25,14.880600,14.998700,14.732975,14.910125,10.416744,1227138
2000-02-28,14.880600,14.880600,14.496775,14.673925,10.251729,430144
2000-02-29,14.880600,15.057750,14.614875,15.057750,10.519882,1037680
2000-03-01,14.998700,15.116800,14.555825,14.614875,10.210469,951524
2000-03-02,14.496775,16.120649,14.496775,16.120649,11.262458,1219517
2000-03-03,16.091125,16.356850,15.707300,16.002550,11.196357,773709
2000-03-06,15.884450,16.622576,15.825400,16.356850,11.444247,602032
