Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.999018,7.023576,6.827112,6.925344,2.810946,1051849
2000-01-04,6.876228,7.072692,6.851670,6.999018,2.840849,875226
2000-01-05,7.072692,7.367387,7.023576,7.293713,2.960465,1086206
2000-01-06,7.269155,7.293713,7.072692,7.244597,2.940529,479224
2000-01-07,7.220039,7.367387,7.146365,7.220039,2.930560,623780
2000-01-10,7.293713,7.416503,7.293713,7.391945,3.000335,853593
2000-01-11,7.342829,7.367387,7.121807,7.170923,2.910625,1031998
2000-01-12,7.121807,7.293713,7.072692,7.293713,2.960465,503147
2000-01-13,7.220039,7.269155,7.072692,7.220039,2.930560,439522
2000-01-14,7.220039,7.244597,7.072692,7.097250,2.880721,424506
2000-01-18,6.999018,7.023576,6.876228,6.876228,2.791012,907038
2000-01-19,6.851670,7.097250,6.827112,7.072692,2.870754,517144
2000-01-20,7.048134,7.269155,6.974460,7.269155,2.950496,795567
2000-01-21,7.170923,7.833988,7.146365,7.833988,3.179758,1663921
2000-01-24,7.858546,8.521611,7.858546,8.374263,3.399051,2353871
2000-01-25,8.374263,8.497053,7.711198,7.760314,3.149855,1591134
2000-01-26,7.760314,7.784872,7.539293,7.612967,3.090047,1899843
2000-01-27,7.588409,7.637525,7.391945,7.514735,3.093280,1927074
2000-01-28,7.490177,7.612967,7.146365,7.220039,2.971976,4582273
2000-01-31,7.220039,7.293713,7.195481,7.220039,2.971976,1388807
2000-02-01,7.293713,7.391945,7.220039,7.391945,3.042738,2404516
2000-02-02,7.391945,7.490177,7.269155,7.293713,3.002303,468535
2000-02-03,7.318271,7.833988,7.318271,7.465619,3.073064,823562
2000-02-04,7.563851,7.662083,7.318271,7.391945,3.042738,806002
2000-02-07,7.465619,7.465619,7.048134,7.072692,2.911324,381496
2000-02-08,7.146365,7.220039,6.974460,6.999018,2.880998,587641
2000-02-09,7.072692,7.269155,6.999018,6.999018,2.880998,427051
2000-02-10,6.925344,7.146365,6.827112,6.900786,2.840563,453774
2000-02-11,6.949902,6.949902,6.827112,6.851670,2.820344,432141
2000-02-14,6.851670,7.048134,6.802554,6.851670,2.820344,383277
2000-02-15,6.949902,6.999018,6.851670,6.900786,2.840563,544121
2000-02-16,6.851670,6.925344,6.827112,6.876228,2.830455,318380
2000-02-17,6.802554,6.851670,6.606090,6.704322,2.759692,748230
2000-02-18,6.802554,6.802554,6.556974,6.581532,2.709147,1678937
2000-02-22,6.728880,6.728880,6.483301,6.581532,2.709147,911874
2000-02-23,6.606090,6.606090,6.409627,6.458743,2.658605,609019
2000-02-24,6.483301,6.483301,6.164047,6.311395,2.597952,818981
2000-02-25,6.262279,6.286837,6.090373,6.114931,2.517082,400583
2000-02-28,5.697446,5.722004,5.009823,5.108055,2.102623,7257068
2000-02-29,5.353635,5.451866,5.009823,5.083497,2.092514,3340822
2000-03-01,5.108055,5.132613,5.034381,5.058939,2.082406,1337907
2000-03-02,5.157171,5.157171,5.034381,5.108055,2.102623,1819675
2000-03-03,5.108055,5.304519,5.083497,5.230845,2.153166,7889500
2000-03-06,5.500982,5.525540,5.230845,5.255403,2.163276,2863889
2000-03-07,5.255403,5.378193,5.255403,5.378193,2.213819,2221785
2000-03-08,5.500982,5.599214,5.451866,5.500982,2.264363,1765467
2000-03-09,5.550098,5.672888,5.500982,5.648330,2.325016,2834876
2000-03-10,5.672888,5.795678,5.648330,5.771120,2.375560,3997941
2000-03-13,5.722004,5.820236,5.697446,5.795678,2.385669,1957869
2000-03-14,5.795678,6.090373,5.771120,5.869352,2.415994,2977905
2000-03-15,5.893910,6.286837,5.893910,6.188605,2.547408,1661885
2000-03-16,6.139489,6.532417,6.139489,6.360511,2.618169,1575864
