Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.468750,7.476563,6.953125,7.109375,2.818031,11653600
2000-01-04,7.085938,7.343750,6.757813,6.781250,2.687968,8544000
2000-01-05,6.687500,6.781250,6.031250,6.375000,2.526937,12973600
2000-01-06,6.281250,6.375000,5.890625,6.007813,2.381391,11642400
2000-01-07,6.000000,6.609375,5.984375,6.484375,2.570292,16177600
2000-01-10,6.687500,7.125000,6.625000,7.093750,2.811837,7756800
2000-01-11,7.093750,7.093750,6.390625,6.515625,2.582679,6324800
2000-01-12,6.593750,6.671875,6.390625,6.671875,2.644614,6470400
2000-01-13,6.714844,6.984375,6.625000,6.835938,2.709645,4000800
2000-01-14,6.890625,7.093750,6.609375,6.609375,2.619840,4434400
2000-01-18,6.746094,7.093750,6.710938,6.843750,2.712742,5034400
2000-01-19,6.937500,7.203125,6.875000,7.062500,2.799450,6753600
2000-01-20,7.390625,7.656250,7.250000,7.554688,2.994546,19503200
2000-01-21,7.562500,7.609375,7.171875,7.285156,2.887708,8452800
2000-01-24,7.250000,7.710938,7.250000,7.304688,2.895449,10001600
2000-01-25,7.375000,7.390625,7.000000,7.250000,2.873772,5762400
2000-01-26,7.250000,7.593750,7.171875,7.226563,2.864482,7943200
2000-01-27,7.375000,7.375000,6.375000,6.640625,2.632226,8400800
2000-01-28,6.578125,6.742188,6.203125,6.257813,2.480487,10860000
2000-01-31,6.281250,6.406250,5.812500,6.257813,2.480487,10579200
2000-02-01,6.359375,6.375000,6.031250,6.351563,2.517648,5226400
2000-02-02,6.500000,6.875000,6.375000,6.703125,2.657001,7731200
2000-02-03,7.046875,7.363281,6.843750,7.226563,2.864482,8777600
2000-02-04,7.234375,7.375000,7.125000,7.328125,2.904740,7151200
2000-02-07,7.468750,8.125000,7.312500,7.929688,3.143189,20037600
2000-02-08,8.062500,8.156250,7.593750,7.632813,3.025512,13778400
2000-02-09,7.781250,7.968750,7.625000,7.859375,3.115318,5768800
2000-02-10,7.859375,8.671875,7.859375,8.640625,3.424992,14156800
2000-02-11,8.609375,8.625000,8.046875,8.218750,3.257768,10166400
2000-02-14,8.312500,8.359375,7.898438,8.000000,3.171059,4259200
2000-02-15,8.031250,8.046875,7.734375,8.000000,3.171059,3693600
2000-02-16,7.992188,8.445313,7.984375,8.304688,3.291832,4661600
2000-02-17,8.343750,8.343750,7.968750,7.988281,3.166414,6163200
2000-02-18,8.062500,8.203125,7.859375,8.000000,3.171059,3620000
2000-02-22,8.148438,8.265625,7.640625,8.039063,3.186542,6072000
2000-02-23,8.031250,8.562500,7.937500,8.437500,3.344476,7748800
2000-02-24,8.500000,8.625000,8.234375,8.296875,3.288737,7815200
2000-02-25,8.453125,9.000000,8.398438,8.968750,3.555055,10382400
2000-02-28,9.039063,9.234375,8.562500,8.750000,3.468345,8664000
2000-02-29,8.937500,9.312500,8.718750,8.929688,3.539572,7821600
2000-03-01,8.968750,9.312500,8.875000,8.968750,3.555055,9414400
2000-03-02,8.992188,9.125000,8.500000,8.609375,3.412604,6732800
2000-03-03,8.812500,9.343750,8.812500,9.062500,3.592215,5336800
2000-03-06,9.273438,9.703125,9.257813,9.468750,3.753246,7325600
2000-03-07,9.656250,9.937500,9.445313,9.640625,3.821373,9005600
2000-03-08,9.828125,9.875000,9.671875,9.843750,3.901888,10022400
2000-03-09,9.921875,10.203125,9.859375,10.046875,3.982404,9001600
2000-03-10,10.062500,10.187500,9.906250,10.101563,4.004082,8627200
2000-03-13,9.960938,10.031250,9.375000,9.570313,3.793503,3676800
2000-03-14,9.656250,9.843750,8.218750,8.992188,3.564346,12992000
2000-03-15,9.015625,9.015625,8.234375,8.609375,3.412604,9296800
2000-03-16,8.539063,8.968750,7.890625,8.750000,3.468345,8513600
2000-03-17,8.484375,9.093750,8.437500,8.921875,3.536474,3692000
2000-03-20,8.937500,9.250000,8.750000,8.789063,3.483829,4995200
2000-03-21,8.796875,8.914063,8.250000,8.718750,3.455959,6002400
2000-03-22,8.750000,9.187500,8.546875,9.062500,3.592215,3897600
2000-03-23,9.140625,9.390625,8.976563,9.062500,3.592215,3748800
2000-03-24,9.078125,9.500000,9.000000,9.164063,3.632472,2595200
2000-03-27,9.250000,9.421875,8.664063,8.882813,3.520991,3605600
2000-03-28,8.937500,9.234375,8.882813,9.140625,3.623183,5792800
2000-03-29,9.148438,9.148438,8.375000,8.976563,3.558151,7219200
2000-03-30,8.781250,9.187500,8.578125,9.000000,3.567441,9133600
2000-03-31,9.250000,9.515625,9.031250,9.390625,3.722278,11280000
2000-04-03,9.421875,9.546875,7.656250,7.710938,3.056480,13176000
2000-04-04,7.992188,8.187500,6.546875,7.265625,2.879966,16571200
2000-04-05,7.359375,8.187500,7.242188,8.000000,3.171059,13575200
2000-04-06,8.195313,8.289063,7.875000,8.125000,3.220607,4962400
2000-04-07,8.078125,8.375000,8.007813,8.328125,3.301122,4152800
2000-04-10,8.484375,8.484375,7.625000,7.671875,3.040996,6331200
2000-04-11,7.507813,8.000000,7.250000,7.433594,2.946546,5964000
2000-04-12,7.625000,7.687500,7.125000,7.257813,2.876869,5705600
2000-04-13,7.460938,7.500000,7.062500,7.140625,2.830418,4160000
2000-04-14,7.007813,7.015625,6.140625,6.570313,2.604356,10435200
2000-04-17,6.453125,7.445313,6.312500,7.437500,2.948094,7915200
2000-04-18,7.546875,8.062500,7.343750,7.937500,3.146286,5761600
2000-04-19,8.007813,8.421875,7.890625,8.382813,3.322801,8485600
2000-04-20,8.046875,8.046875,7.015625,7.437500,2.948094,12801600
2000-04-24,7.218750,7.250000,6.531250,6.906250,2.737516,7550400
2000-04-25,7.125000,7.484375,7.117188,7.375000,2.923320,6702400
2000-04-26,7.531250,7.703125,6.859375,6.898438,2.734419,4660000
2000-04-27,6.812500,7.625000,6.671875,7.421875,2.941901,7299200
2000-04-28,7.500000,7.820313,7.312500,7.804688,3.093642,3033600
2000-05-01,7.804688,7.968750,7.656250,7.726563,3.062674,3780800
2000-05-02,7.750000,7.875000,7.687500,7.695313,3.050286,5887200
2000-05-03,7.597656,7.640625,7.000000,7.312500,2.898546,5497600
2000-05-04,7.449219,7.750000,7.343750,7.632813,3.025512,9112000
2000-05-05,7.812500,8.000000,7.546875,7.562500,2.997642,7707200
2000-05-08,7.539063,7.625000,7.320313,7.460938,2.957384,7119200
2000-05-09,7.484375,7.578125,7.218750,7.562500,2.997642,5348000
2000-05-10,7.515625,7.515625,6.906250,7.101563,2.814934,5454400
2000-05-11,7.312500,7.312500,6.796875,7.140625,2.830418,8564800
2000-05-12,7.250000,7.546875,7.062500,7.070313,2.802548,3802400
2000-05-15,7.187500,7.328125,7.000000,7.304688,2.895449,4304000
2000-05-16,7.406250,7.656250,7.398438,7.562500,2.997642,5498400
2000-05-17,7.492188,8.234375,7.406250,8.187500,3.245381,10359200
2000-05-18,8.070313,8.367188,7.812500,7.867188,3.118415,6935200
2000-05-19,7.859375,8.117188,7.750000,7.789063,3.087447,4989600
2000-05-22,7.734375,7.843750,7.187500,7.750000,3.071964,3828000
2000-05-23,7.687500,7.976563,7.250000,7.281250,2.886159,3637600
2000-05-24,7.281250,8.023438,7.187500,8.023438,3.180351,6028800
2000-05-25,7.968750,8.468750,7.812500,7.875000,3.121511,7055200
2000-05-26,7.890625,7.937500,7.750000,7.812500,3.096737,1272800
2000-05-30,7.937500,8.507813,7.812500,8.507813,3.372347,5825600
2000-05-31,8.445313,8.468750,8.046875,8.218750,3.257768,4246400
2000-06-01,8.328125,8.781250,8.328125,8.750000,3.468345,9565600
2000-06-02,8.882813,9.007813,8.632813,8.742188,3.465250,6306400
2000-06-05,8.753906,8.812500,8.562500,8.742188,3.465250,3910400
2000-06-06,8.875000,8.937500,8.578125,8.609375,3.412604,4073600
2000-06-07,8.566406,8.781250,8.562500,8.750000,3.468345,4895200
2000-06-08,8.804688,8.914063,8.562500,8.687500,3.443572,5634400
2000-06-09,8.742188,9.140625,8.671875,8.937500,3.542668,6325600
