date,amount,price,sid,symbol,value
2001-02-16 23:59:59.999989+00:00,0.3028467595396729,16.54,31,CPB,-5.009085402786189
2001-02-21 23:59:59.999989+00:00,-0.3028467595396729,17.17,31,CPB,5.199878861296184
2001-02-21 23:59:59.999989+00:00,0.9978037247606495,4.87,135,NKE,-4.8593041395843635
2001-02-23 23:59:59.999989+00:00,0.3045734483032768,15.65,118,MAR,-4.766574465946282
2001-02-26 23:59:59.999989+00:00,-0.9978037247606495,4.93,135,NKE,4.919172363070001
2001-02-27 23:59:59.999989+00:00,-0.3045734483032768,15.76,118,MAR,4.800077545259643
2001-03-02 23:59:59.999989+00:00,0.3044449446305677,16.38,167,LUV,-4.986808193048699
2001-03-06 23:59:59.999989+00:00,-0.3044449446305677,17.15,167,LUV,5.221230800414236
2001-03-12 23:59:59.999989+00:00,0.31971560867899024,15.62,167,LUV,-4.9939578075658275
2001-03-13 23:59:59.999989+00:00,0.13405084137118817,35.72,151,PNC,-4.788296053778841
2001-03-14 23:59:59.999989+00:00,0.4316666674944332,10.39,55,DHR,-4.485016675267161
2001-03-16 23:59:59.999989+00:00,-0.13405084137118817,35.55,151,PNC,4.765507410745739
2001-03-16 23:59:59.999989+00:00,-0.31971560867899024,16.06,167,LUV,5.134632675384583
2001-03-19 23:59:59.999989+00:00,0.160359334419935,30.31,33,CAH,-4.860491426268229
2001-03-19 23:59:59.999989+00:00,1.4480641102137506,3.38,52,CSX,-4.894456692522477
2001-03-19 23:59:59.999989+00:00,0.4745876452033219,10.33,161,ROK,-4.9024903749503155
2001-03-20 23:59:59.999989+00:00,-0.160359334419935,31.17,33,CAH,4.998400453869374
2001-03-20 23:59:59.999989+00:00,-1.4480641102137506,3.46,52,CSX,5.010301821339577
2001-03-20 23:59:59.999989+00:00,-0.4316666674944332,10.32,55,DHR,4.454800008542551
2001-03-20 23:59:59.999989+00:00,-0.4745876452033219,10.56,161,ROK,5.01164553334708
2001-03-21 23:59:59.999989+00:00,1.2978041933361257,3.88,134,NEE,-5.035480270144168
2001-03-22 23:59:59.999989+00:00,0.47257973384929275,10.09,94,HUM,-4.768329514539364
2001-03-22 23:59:59.999989+00:00,0.4027442735995232,11.86,160,RF,-4.776547084890345
2001-03-22 23:59:59.999989+00:00,0.49348603894756393,9.75,161,ROK,-4.811488879738748
2001-03-23 23:59:59.999989+00:00,0.2334783070756668,17.59,9,AEP,-4.106883421460979
2001-03-23 23:59:59.999989+00:00,0.25054459610638197,16.19,67,ETR,-4.056317010962324
2001-03-23 23:59:59.999989+00:00,0.2955700017834709,13.8,159,RTX,-4.078866024611899
2001-03-23 23:59:59.999989+00:00,0.262982980310245,15.55,175,TFC,-4.0893853438243095
2001-03-23 23:59:59.999989+00:00,0.3691281470237012,11.21,179,UNH,-4.137926528135691
2001-03-23 23:59:59.999989+00:00,0.14603888380278907,27.85,186,WBA,-4.067182913907676
2001-03-26 23:59:59.999989+00:00,0.21443894454637258,13.45,58,D,-2.884203804148711
2001-03-26 23:59:59.999989+00:00,0.27007935250632154,10.56,74,FE,-2.8520379624667553
2001-03-26 23:59:59.999989+00:00,0.22510165449619224,13.06,82,GPC,-2.9398276077202707
2001-03-26 23:59:59.999989+00:00,0.20430071364375038,13.97,152,PPG,-2.854080969603193
2001-03-26 23:59:59.999989+00:00,0.3252038725731763,8.9,156,PEG,-2.894314465901269
2001-03-26 23:59:59.999989+00:00,-0.4027442735995232,12.26,160,RF,4.937644794330154
2001-03-26 23:59:59.999989+00:00,-0.262982980310245,16.36,175,TFC,4.302401557875608
2001-03-26 23:59:59.999989+00:00,-0.3691281470237012,11.48,179,UNH,4.23759112783209
2001-03-26 23:59:59.999989+00:00,-0.14603888380278907,28.57,186,WBA,4.172330910245684
2001-03-27 23:59:59.999989+00:00,-0.2334783070756668,18.4,9,AEP,4.296000850192269
2001-03-27 23:59:59.999989+00:00,-0.21443894454637258,13.61,58,D,2.9185140352761305
2001-03-27 23:59:59.999989+00:00,-0.25054459610638197,16.49,67,ETR,4.1314803897942385
2001-03-27 23:59:59.999989+00:00,-0.27007935250632154,10.99,74,FE,2.9681720840444736
2001-03-27 23:59:59.999989+00:00,-0.22510165449619224,13.37,82,GPC,3.00960912061409
2001-03-27 23:59:59.999989+00:00,-1.2978041933361257,3.89,134,NEE,5.048458312077529
2001-03-27 23:59:59.999989+00:00,-0.3252038725731763,9.1,156,PEG,2.959355240415904
2001-03-27 23:59:59.999989+00:00,-0.2955700017834709,14.7,159,RTX,4.344879026217022
2001-03-29 23:59:59.999989+00:00,-0.20430071364375038,14.27,152,PPG,2.9153711836963176
2001-04-03 23:59:59.999989+00:00,-0.47257973384929275,8.67,94,HUM,4.0972662924733685
2001-04-03 23:59:59.999989+00:00,-0.49348603894756393,9.17,161,ROK,4.525266977149161
2001-04-04 23:59:59.999989+00:00,0.5765945246689145,8.71,94,HUM,-5.0221383098662455
2001-04-06 23:59:59.999989+00:00,0.6296246607823935,7.66,17,ADM,-4.822924901593135
2001-04-09 23:59:59.999989+00:00,0.4094529630485682,11.3,81,GIS,-4.626818482448821
2001-04-10 23:59:59.999989+00:00,-0.4094529630485682,11.16,81,GIS,4.569495067622022
2001-04-10 23:59:59.999989+00:00,-0.5765945246689145,8.44,94,HUM,4.866457788205638
2001-04-11 23:59:59.999989+00:00,0.4328757069284039,11.21,81,GIS,-4.852536674667408
2001-04-17 23:59:59.999989+00:00,1.6592784570467574,2.77,174,TJX,-4.596201326019518
2001-04-19 23:59:59.999989+00:00,-1.6592784570467574,2.97,174,TJX,4.92805701742887
2001-04-23 23:59:59.999989+00:00,0.23655179238391746,19.43,88,HSY,-4.596201326019516
2001-04-26 23:59:59.999989+00:00,-0.6296246607823935,6.97,17,ADM,4.388483885653283
2001-04-26 23:59:59.999989+00:00,-0.23655179238391746,19.35,88,HSY,4.577277182628803
2001-04-27 23:59:59.999989+00:00,-0.4328757069284039,10.6,81,GIS,4.588482493441081
2001-05-03 23:59:59.999989+00:00,0.8044822069863955,6.23,121,MKC,-5.011924149525244
2001-05-04 23:59:59.999989+00:00,-0.8044822069863955,6.36,121,MKC,5.116506836433476
2001-06-07 23:59:59.999989+00:00,0.3754150611264023,13.5,36,CNP,-5.068103325206431
2001-06-07 23:59:59.999989+00:00,0.3361739395572644,15.1,70,EXC,-5.076226487314692
2001-06-08 23:59:59.999989+00:00,0.4868291620068654,9.33,176,TSN,-4.542116081524054
2001-06-11 23:59:59.999989+00:00,-0.3754150611264023,13.66,36,CNP,5.128169734986656
2001-06-11 23:59:59.999989+00:00,0.4466884345184111,9.69,56,DRI,-4.328410930483403
2001-06-11 23:59:59.999989+00:00,-0.3361739395572644,15.47,70,EXC,5.20061084495088
2001-06-12 23:59:59.999989+00:00,-0.4466884345184111,9.76,56,DRI,4.359679120899693
2001-06-12 23:59:59.999989+00:00,0.17111712124288314,26.22,91,HON,-4.486690918988396
2001-06-12 23:59:59.999989+00:00,0.8390961381673743,5.52,183,VFC,-4.631810682683906
2001-06-14 23:59:59.999989+00:00,0.6981001014165755,6.22,53,CMI,-4.3421826308111
2001-06-14 23:59:59.999989+00:00,0.15626874815715558,27.46,142,OMC,-4.291139824395493
2001-06-14 23:59:59.999989+00:00,-0.8390961381673743,5.43,183,VFC,4.556292030248842
2001-06-15 23:59:59.999989+00:00,0.4383651380918111,9.61,56,DRI,-4.212688977062305
2001-06-15 23:59:59.999989+00:00,0.23133237885998012,18.07,67,ETR,-4.1801760859998405
2001-06-15 23:59:59.999989+00:00,0.46164116312323467,8.85,178,UNP,-4.085524293640627
2001-06-15 23:59:59.999989+00:00,0.7979418957235259,5.29,183,VFC,-4.221112628377452
2001-06-15 23:59:59.999989+00:00,0.34690242016908074,12.03,194,XEL,-4.173236114634041
2001-06-18 23:59:59.999989+00:00,0.7823998024120818,3.99,52,CSX,-3.1217752116242066
2001-06-18 23:59:59.999989+00:00,-0.6981001014165755,6.35,53,CMI,4.432935643995254
2001-06-18 23:59:59.999989+00:00,-0.23133237885998012,18.62,67,ETR,4.30740889437283
2001-06-18 23:59:59.999989+00:00,0.19596738945825468,15.97,152,PPG,-3.1295992096483274
2001-06-18 23:59:59.999989+00:00,0.20388268466764348,15.71,159,RTX,-3.2029969761286794
2001-06-18 23:59:59.999989+00:00,-0.34690242016908074,12.37,194,XEL,4.291182937491529
2001-06-19 23:59:59.999989+00:00,0.9241500037908511,3.59,7,MO,-3.3176985136091552
2001-06-19 23:59:59.999989+00:00,-0.7823998024120818,4.13,52,CSX,3.231311183961898
2001-06-19 23:59:59.999989+00:00,0.03999101914143898,82.73,92,HWM,-3.308457013571247
