date,amount,price,sid,symbol,value
2001-01-25 23:59:59.999989+00:00,0.8333333333333335,12.24,1,ABT,-10.200000000000003
2001-01-25 23:59:59.999989+00:00,0.2664535038635758,37.53,28,BA,-10.0
2001-01-25 23:59:59.999989+00:00,0.2743484224965706,36.74,125,MRK,-10.079561042524004
2001-01-25 23:59:59.999989+00:00,0.48971596474045054,20.79,128,TAP,-10.181194906953966
2001-01-25 23:59:59.999989+00:00,0.38699690402476783,25.54,147,PEP,-9.88390092879257
2001-01-25 23:59:59.999989+00:00,0.2898550724637681,36.1,148,PKI,-10.46376811594203
2001-02-01 23:59:59.999989+00:00,-0.8333333333333335,12.45,1,ABT,10.375000000000002
2001-02-01 23:59:59.999989+00:00,-0.2664535038635758,38.22,28,BA,10.183852917665867
2001-02-01 23:59:59.999989+00:00,-0.2743484224965706,38.21,125,MRK,10.482853223593963
2001-02-01 23:59:59.999989+00:00,-0.48971596474045054,23.14,128,TAP,11.332027424094026
2001-02-01 23:59:59.999989+00:00,1.0451086668209981,3.76,134,NEE,-3.929608587246953
2001-02-01 23:59:59.999989+00:00,-0.38699690402476783,26.4,147,PEP,10.21671826625387
2001-02-01 23:59:59.999989+00:00,-0.2898550724637681,39.03,148,PKI,11.31304347826087
2001-02-08 23:59:59.999989+00:00,0.2641594611838281,37.65,28,BA,-9.945603713571128
2001-02-08 23:59:59.999989+00:00,-1.0451086668209981,3.87,134,NEE,4.044570540597263
2001-02-15 23:59:59.999989+00:00,-0.2641594611838281,39.71,28,BA,10.489772203609814
2001-02-22 23:59:59.999989+00:00,0.555429340251847,18.68,66,EMR,-10.375420075904502
2001-03-01 23:59:59.999989+00:00,0.3768312376236502,24.89,123,MCK,-9.379329504452652
2001-03-15 23:59:59.999989+00:00,0.32134449571035906,25.57,30,BMY,-8.21677875531388
2001-03-15 23:59:59.999989+00:00,0.8211090046792556,10.23,55,DHR,-8.399945117868786
2001-03-15 23:59:59.999989+00:00,0.23782404070976174,35.69,151,PNC,-8.487940012931396
2001-03-22 23:59:59.999989+00:00,0.16688803426629015,34.96,28,BA,-5.834405677949504
2001-03-22 23:59:59.999989+00:00,0.605913449512076,9.75,161,ROK,-5.9076561327427415
2001-03-22 23:59:59.999989+00:00,1.389028002183344,4.33,169,SBUX,-6.01449124945388
2001-03-22 23:59:59.999989+00:00,0.3604332147648335,16.29,175,TFC,-5.871457068519137
2001-03-29 23:59:59.999989+00:00,-0.16688803426629015,36.04,28,BA,6.0146447549570965
2001-03-29 23:59:59.999989+00:00,-0.32134449571035906,26.41,30,BMY,8.486708131710582
2001-03-29 23:59:59.999989+00:00,-0.555429340251847,16.99,66,EMR,9.43674449087888
2001-03-29 23:59:59.999989+00:00,-0.23782404070976174,36.22,151,PNC,8.61398675450757
2001-03-29 23:59:59.999989+00:00,-0.3604332147648335,17.05,175,TFC,6.145386311740411
2001-04-05 23:59:59.999989+00:00,0.2507262630769595,30.21,0,MMM,-7.574440407554946
2001-04-05 23:59:59.999989+00:00,0.9531475207178229,7.75,17,ADM,-7.3868932855631275
2001-04-05 23:59:59.999989+00:00,-0.3768312376236502,21.98,123,MCK,8.28275060296783
2001-04-12 23:59:59.999989+00:00,-0.2507262630769595,31.71,0,MMM,7.950529802170386
2001-04-12 23:59:59.999989+00:00,0.613360661053353,11.07,81,GIS,-6.789902517860617
2001-04-12 23:59:59.999989+00:00,-0.605913449512076,9.79,161,ROK,5.931892670723224
2001-04-19 23:59:59.999989+00:00,-0.8211090046792556,10.51,55,DHR,8.629855639178977
2001-04-19 23:59:59.999989+00:00,0.23862106022645435,30.57,106,KMB,-7.2946458111227095
2001-04-19 23:59:59.999989+00:00,-1.389028002183344,4.3,169,SBUX,5.97282040938838
2001-05-03 23:59:59.999989+00:00,-0.9531475207178229,7.24,17,ADM,6.900788049997038
