date,amount,price,sid,symbol,value
2001-01-25 23:59:59.999989+00:00,0.15683814303638646,31.84,0,MMM,-4.993726474278545
2001-01-25 23:59:59.999989+00:00,0.23452157598499063,21.36,5,APD,-5.009380863039399
2001-01-25 23:59:59.999989+00:00,0.23798191337458352,21.33,14,APA,-5.076154212279866
2001-01-25 23:59:59.999989+00:00,0.589622641509434,8.52,17,ADM,-5.023584905660377
2001-01-25 23:59:59.999989+00:00,0.19142419601837674,26.12,21,AZO,-5.000000000000001
2001-01-25 23:59:59.999989+00:00,2.173913043478261,2.31,23,BLL,-5.021739130434783
2001-01-25 23:59:59.999989+00:00,0.31525851197982346,15.96,26,BAX,-5.031525851197983
2001-01-25 23:59:59.999989+00:00,0.17361111111111113,28.41,30,BMY,-4.932291666666667
2001-01-25 23:59:59.999989+00:00,0.27901785714285715,17.92,31,CPB,-5.000000000000001
2001-01-25 23:59:59.999989+00:00,0.4061738424045491,12.47,35,CAT,-5.064987814784728
2001-01-25 23:59:59.999989+00:00,0.5452562704471101,9.2,47,CAG,-5.016357688113413
2001-01-25 23:59:59.999989+00:00,0.425531914893617,11.68,62,EMN,-4.970212765957447
2001-01-25 23:59:59.999989+00:00,0.3253090435914119,15.35,64,ECL,-4.993493819128172
2001-01-25 23:59:59.999989+00:00,0.24154589371980678,20.7,66,EMR,-5.0
2001-01-25 23:59:59.999989+00:00,0.4533091568449683,11.03,81,GIS,-5.0
2001-01-25 23:59:59.999989+00:00,0.38491147036181683,12.92,82,GPC,-4.973056197074674
2001-01-25 23:59:59.999989+00:00,0.43630017452006986,11.69,94,HUM,-5.1003490401396165
2001-01-25 23:59:59.999989+00:00,0.6218905472636816,8.07,95,HBAN,-5.018656716417911
2001-01-25 23:59:59.999989+00:00,0.27472527472527475,18.33,99,IP,-5.035714285714286
2001-02-01 23:59:59.999989+00:00,-0.15683814303638646,33.0,0,MMM,5.175658720200754
2001-02-01 23:59:59.999989+00:00,-0.23452157598499063,21.5,5,APD,5.042213883677299
2001-02-01 23:59:59.999989+00:00,-0.589622641509434,9.09,17,ADM,5.359669811320755
2001-02-01 23:59:59.999989+00:00,-0.31525851197982346,16.75,26,BAX,5.280580075662043
2001-02-01 23:59:59.999989+00:00,-0.27901785714285715,18.67,31,CPB,5.209263392857143
2001-02-01 23:59:59.999989+00:00,0.004765455117771678,49.79,32,COF,-0.23727201031385184
2001-02-01 23:59:59.999989+00:00,-0.4061738424045491,13.0,35,CAT,5.280259951259138
2001-02-01 23:59:59.999989+00:00,-0.425531914893617,12.42,62,EMN,5.285106382978723
2001-02-01 23:59:59.999989+00:00,-0.3253090435914119,16.58,64,ECL,5.3936239427456085
2001-02-01 23:59:59.999989+00:00,-0.24154589371980678,21.0,66,EMR,5.072463768115942
2001-02-01 23:59:59.999989+00:00,-0.4533091568449683,11.51,81,GIS,5.217588395285585
2001-02-01 23:59:59.999989+00:00,-0.38491147036181683,13.24,82,GPC,5.096227867590455
2001-02-01 23:59:59.999989+00:00,-0.27472527472527475,19.41,99,IP,5.332417582417583
2001-02-01 23:59:59.999989+00:00,0.008072859572593112,29.35,100,IPG,-0.23693842845560784
2001-02-01 23:59:59.999989+00:00,0.016997017823214333,13.96,105,KEY,-0.2372783688120721
2001-02-01 23:59:59.999989+00:00,0.05277025132641599,4.54,136,NI,-0.23957694102192859
2001-02-01 23:59:59.999989+00:00,0.03214904049601191,7.48,157,PHM,-0.24047482291016908
2001-02-01 23:59:59.999989+00:00,0.016173271566935685,14.62,188,WM,-0.23645323030859972
2001-02-08 23:59:59.999989+00:00,-0.23798191337458352,21.46,14,APA,5.107091861018563
2001-02-08 23:59:59.999989+00:00,0.10857305808908771,30.46,20,ADP,-3.3071353493936115
2001-02-08 23:59:59.999989+00:00,-0.19142419601837674,25.24,21,AZO,4.831546707503828
2001-02-08 23:59:59.999989+00:00,-2.173913043478261,2.14,23,BLL,4.652173913043479
2001-02-08 23:59:59.999989+00:00,0.0879806187285575,37.65,28,BA,-3.31247029513019
2001-02-08 23:59:59.999989+00:00,-0.17361111111111113,28.9,30,BMY,5.017361111111112
2001-02-08 23:59:59.999989+00:00,0.18565443659752942,17.85,31,CPB,-3.3139316932659004
2001-02-08 23:59:59.999989+00:00,-0.5452562704471101,9.68,47,CAG,5.278080697928026
2001-02-08 23:59:59.999989+00:00,0.29781717106132083,11.09,48,COP,-3.302792427070048
2001-02-08 23:59:59.999989+00:00,0.15220241599401144,22.02,79,GD,-3.3514972001881316
2001-02-08 23:59:59.999989+00:00,0.26338057632137546,12.62,83,GL,-3.323862873175758
2001-02-08 23:59:59.999989+00:00,-0.43630017452006986,11.92,94,HUM,5.200698080279233
2001-02-08 23:59:59.999989+00:00,-0.6218905472636816,7.53,95,HBAN,4.682835820895523
2001-02-08 23:59:59.999989+00:00,0.1954315045603579,17.28,118,MAR,-3.377056398802985
2001-02-08 23:59:59.999989+00:00,0.11544188839811423,28.65,142,OMC,-3.3074101026059726
2001-02-08 23:59:59.999989+00:00,0.16318144402520005,20.29,145,PH,-3.310951499271309
2001-02-08 23:59:59.999989+00:00,0.14279258223389746,23.47,146,PAYX,-3.351341905029573
2001-02-08 23:59:59.999989+00:00,-0.03214904049601191,7.85,157,PHM,0.2523699678936935
2001-02-08 23:59:59.999989+00:00,0.08486105927723658,38.99,170,STT,-3.3087327012194545
2001-02-08 23:59:59.999989+00:00,-0.016173271566935685,14.81,188,WM,0.2395261519063175
2001-02-15 23:59:59.999989+00:00,0.1977713818198773,16.51,18,T,-3.2652055138461744
2001-02-15 23:59:59.999989+00:00,-0.0879806187285575,39.71,28,BA,3.4937103697110183
2001-02-15 23:59:59.999989+00:00,0.11713160348738752,27.52,30,BMY,-3.2234617279729045
2001-02-15 23:59:59.999989+00:00,-0.004765455117771678,47.64,32,COF,0.22702628181064274
2001-02-15 23:59:59.999989+00:00,0.16619699796670387,19.48,34,CCL,-3.2375175203913913
2001-02-15 23:59:59.999989+00:00,0.09766267029838285,33.38,39,CI,-3.25997993456002
2001-02-15 23:59:59.999989+00:00,0.009678966547255198,336.05,42,C,-3.2526167082051094
2001-02-15 23:59:59.999989+00:00,0.17817928015362638,18.08,45,CL,-3.2214813851775648
2001-02-15 23:59:59.999989+00:00,-0.29781717106132083,11.48,48,COP,3.4189411237839633
2001-02-15 23:59:59.999989+00:00,0.548731783117185,5.92,53,CMI,-3.248492156053735
2001-02-15 23:59:59.999989+00:00,0.1651794653260914,19.72,66,EMR,-3.2573390562305224
2001-02-15 23:59:59.999989+00:00,0.28006206923800964,11.51,69,ES,-3.2235144169294907
2001-02-15 23:59:59.999989+00:00,-0.15220241599401144,22.67,79,GD,3.4504287705842396
2001-02-15 23:59:59.999989+00:00,-0.26338057632137546,12.82,83,GL,3.3765389884400334
2001-02-15 23:59:59.999989+00:00,0.17857239494712585,18.51,99,IP,-3.3053750304713
2001-02-15 23:59:59.999989+00:00,-0.008072859572593112,28.99,100,IPG,0.2340321990094743
2001-02-15 23:59:59.999989+00:00,0.11505037385896913,28.24,103,JPM,-3.249022557777288
2001-02-15 23:59:59.999989+00:00,-0.016997017823214333,14.1,105,KEY,0.2396579513073221
2001-02-15 23:59:59.999989+00:00,0.3546021380494404,9.3,108,KR,-3.297799883859796
2001-02-15 23:59:59.999989+00:00,-0.1954315045603579,17.06,118,MAR,3.334061467799706
2001-02-15 23:59:59.999989+00:00,0.2500013529259762,13.08,120,MAS,-3.270017696271769
2001-02-15 23:59:59.999989+00:00,0.0880477976717811,36.02,125,MRK,-3.1714816721375554
2001-02-15 23:59:59.999989+00:00,-0.05277025132641599,4.76,136,NI,0.25118639631374007
2001-02-15 23:59:59.999989+00:00,-0.11544188839811423,28.84,142,OMC,3.3293440614016143
2001-02-15 23:59:59.999989+00:00,0.6323276407014435,5.12,144,PCAR,-3.237517520391391
2001-02-15 23:59:59.999989+00:00,-0.14279258223389746,23.82,146,PAYX,3.4013193088114373
2001-02-15 23:59:59.999989+00:00,0.07960456160293561,40.79,151,PNC,-3.2470700677837434
2001-02-15 23:59:59.999989+00:00,0.16467535709010128,19.7,162,SPGI,-3.244104534674995
2001-02-15 23:59:59.999989+00:00,0.19645130584899217,16.36,180,UNM,-3.213943363689512
2001-02-15 23:59:59.999989+00:00,0.17434127735010185,18.63,182,VZ,-3.247977997032397
2001-02-15 23:59:59.999989+00:00,0.22129306359476356,14.63,188,WM,-3.237517520391391
2001-02-15 23:59:59.999989+00:00,0.045682482297042346,72.5,189,WAT,-3.3119799665355703
2001-02-22 23:59:59.999989+00:00,0.04386475906104161,24.44,13,AON,-1.072054711451857
2001-02-22 23:59:59.999989+00:00,-0.1977713818198773,16.54,18,T,3.27113865530077
2001-02-22 23:59:59.999989+00:00,0.13202965940705577,7.86,19,ADSK,-1.0377531229394583
2001-02-22 23:59:59.999989+00:00,-0.10857305808908771,29.36,20,ADP,3.187704985495615
2001-02-22 23:59:59.999989+00:00,0.5091670118760142,2.1,23,BLL,-1.06925072493963
2001-02-22 23:59:59.999989+00:00,0.031289592908581874,34.15,25,BK,-1.068539597828071
2001-02-22 23:59:59.999989+00:00,-0.11713160348738752,27.3,30,BMY,3.197692775205679
2001-02-22 23:59:59.999989+00:00,-0.18565443659752942,16.83,31,CPB,3.12456416793642
2001-02-22 23:59:59.999989+00:00,0.024141539356190327,44.08,32,COF,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,-0.16619699796670387,19.98,34,CCL,3.3206160193747434
2001-02-22 23:59:59.999989+00:00,0.08838530355655064,12.04,35,CAT,-1.0641590548208697
2001-02-22 23:59:59.999989+00:00,-0.17817928015362638,19.24,45,CL,3.4281693501557715
2001-02-22 23:59:59.999989+00:00,0.036036540969213327,29.53,51,COST,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,-0.548731783117185,5.92,53,CMI,3.248492156053735
2001-02-22 23:59:59.999989+00:00,0.13202965940705577,8.06,56,DRI,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.08129557332474176,13.09,57,DE,-1.0641590548208697
2001-02-22 23:59:59.999989+00:00,0.028815571481745725,36.57,72,FDX,-1.0537854490874412
2001-02-22 23:59:59.999989+00:00,0.03313073022480914,32.34,73,FITB,-1.0714478154703277
2001-02-22 23:59:59.999989+00:00,0.12519518292010232,8.52,76,BEN,-1.0666629584792717
2001-02-22 23:59:59.999989+00:00,0.08616672508671008,12.4,83,GL,-1.0684673910752052
2001-02-22 23:59:59.999989+00:00,0.014241957371799646,74.72,92,HWM,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.052164659550042625,20.55,96,ITW,-1.071983753753376
2001-02-22 23:59:59.999989+00:00,0.07761918707664986,13.65,105,KEY,-1.0595019035962705
2001-02-22 23:59:59.999989+00:00,-0.3546021380494404,9.39,108,KR,3.3297140762842456
2001-02-22 23:59:59.999989+00:00,0.11061944436807376,9.62,110,LEG,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.039166693221231855,27.56,112,LNC,-1.07943406517715
2001-02-22 23:59:59.999989+00:00,0.0668022005537269,15.93,118,MAR,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.03221795503544867,32.97,119,MMC,-1.0622259775187426
2001-02-22 23:59:59.999989+00:00,0.07661332288127211,13.97,132,NWL,-1.0702881206513715
2001-02-22 23:59:59.999989+00:00,0.2254574268688283,4.72,135,NKE,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.021739715113807345,49.03,138,NTRS,-1.0658982320299741
2001-02-22 23:59:59.999989+00:00,-0.16318144402520005,19.78,145,PH,3.227728962818457
2001-02-22 23:59:59.999989+00:00,0.04592831483905349,23.23,146,PAYX,-1.0669147537112127
2001-02-22 23:59:59.999989+00:00,0.2313389249610586,4.61,155,PGR,-1.0664724440704803
2001-02-22 23:59:59.999989+00:00,0.14779986872512077,7.2,157,PHM,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.09639121873377443,10.98,161,ROK,-1.0583755816968432
2001-02-22 23:59:59.999989+00:00,-0.16467535709010128,20.63,162,SPGI,3.3972526167687893
2001-02-22 23:59:59.999989+00:00,0.1773598424701449,6.02,164,SHW,-1.0677062516702722
2001-02-22 23:59:59.999989+00:00,0.05827815196171246,18.27,167,LUV,-1.0647418363404866
2001-02-22 23:59:59.999989+00:00,-0.08486105927723658,35.21,170,STT,2.9879578971515004
2001-02-22 23:59:59.999989+00:00,0.04512973090843383,24.6,171,TGT,-1.1101913803474723
2001-02-22 23:59:59.999989+00:00,0.10903269004312188,9.68,176,TSN,-1.0554364396174198
2001-02-22 23:59:59.999989+00:00,0.08823872759708702,12.06,177,USB,-1.0641590548208695
2001-02-22 23:59:59.999989+00:00,0.21986757331009704,4.84,183,VFC,-1.0641590548208697
2001-02-22 23:59:59.999989+00:00,0.10183340237520284,10.39,184,VNO,-1.0580490506783575
2001-02-22 23:59:59.999989+00:00,0.078477806402719,13.59,190,WFC,-1.0665133890129512
2001-03-01 23:59:59.999989+00:00,0.023795421678706567,41.5,4,AES,-0.9875099996663226
2001-03-01 23:59:59.999989+00:00,-0.04386475906104161,25.03,13,AON,1.0979349192978716
2001-03-01 23:59:59.999989+00:00,0.04906028174793087,20.18,14,APA,-0.9900364856732449
2001-03-01 23:59:59.999989+00:00,-0.13202965940705577,9.2,19,ADSK,1.214672866544913
2001-03-01 23:59:59.999989+00:00,-0.5091670118760142,2.17,23,BLL,1.1048924157709508
2001-03-01 23:59:59.999989+00:00,-0.031289592908581874,34.99,25,BK,1.0948228558712798
2001-03-01 23:59:59.999989+00:00,0.05808552225816343,16.77,31,CPB,-0.9740942082694006
2001-03-01 23:59:59.999989+00:00,-0.08838530355655064,12.23,35,CAT,1.0809522624966144
2001-03-01 23:59:59.999989+00:00,-0.09766267029838285,33.46,39,CI,3.2677929481838905
2001-03-01 23:59:59.999989+00:00,-0.009678966547255198,301.14,42,C,2.91472398604043
2001-03-01 23:59:59.999989+00:00,0.1672547466041514,6.1,53,CMI,-1.0202539542853235
2001-03-01 23:59:59.999989+00:00,0.08702565878961588,11.32,55,DHR,-0.9851304574984517
2001-03-01 23:59:59.999989+00:00,-0.13202965940705577,8.21,56,DRI,1.083963503731928
